"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",9,4,20,13,8,7,17,8,14,8,3,20,14,20,14,17,20
"2",1,17,22,15,15,4,22,1,22,14,11,10,21,9,11,13,5
"3",18,3,8,20,14,17,14,6,17,9,17,3,8,8,16,22,6
"4",21,14,18,9,3,18,19,14,7,4,21,15,13,3,8,15,7
"5",13,19,21,3,16,14,15,16,19,20,18,18,11,16,17,6,13
"6",6,20,2,8,9,15,16,4,12,5,14,8,2,6,6,5,21
"7",17,16,5,10,4,5,4,2,11,17,20,1,12,19,21,12,16
"8",15,22,11,22,1,11,13,9,1,12,12,22,22,22,5,1,9
"9",14,12,10,4,22,19,2,7,18,2,10,9,20,17,9,18,17
"10",5,2,19,11,13,20,3,20,9,13,9,2,10,18,7,4,8
"11",7,9,4,21,7,22,6,19,21,11,15,17,17,1,13,11,15
"12",20,1,15,1,12,1,12,22,5,6,13,12,19,12,22,10,22
"13",4,18,13,14,10,16,10,12,4,21,5,4,18,4,19,19,14
"14",16,6,7,7,18,3,18,13,15,16,6,7,16,2,3,3,12
"15",2,5,14,2,5,8,1,11,13,19,16,16,1,10,1,21,11
"16",12,15,16,19,2,2,7,15,16,3,2,6,3,11,15,7,10
"17",11,21,6,6,17,6,5,17,6,7,7,21,9,7,12,20,2
"18",10,10,9,5,6,21,21,5,2,15,4,14,6,13,20,8,4
"19",22,11,3,12,11,12,11,21,20,22,1,11,4,21,4,16,1
"20",8,13,12,18,19,9,20,18,3,10,19,5,7,15,2,14,19
"21",19,8,17,17,20,13,8,3,8,18,8,19,5,5,10,9,18
"22",3,7,1,16,21,10,9,10,10,1,22,13,15,14,18,2,3
