"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",19,7,9,13,13,6,2,17,6,2,12,10,5,2,3,7,17,19,5,7
"2",16,18,22,16,22,4,16,14,18,14,11,17,7,21,7,12,11,4,2,1
"3",20,22,16,22,11,7,11,22,22,10,14,3,22,4,16,16,10,14,10,18
"4",6,9,8,12,17,12,8,16,20,16,4,8,16,7,21,4,3,5,1,17
"5",3,8,18,4,5,2,18,7,19,13,7,7,11,8,11,21,20,17,6,9
"6",9,19,20,5,8,17,15,18,13,4,3,13,20,16,2,5,6,13,9,8
"7",21,2,2,2,6,13,13,12,15,12,19,22,15,3,8,6,14,6,22,10
"8",10,4,10,9,19,3,4,8,16,8,21,12,17,20,4,19,9,15,18,19
"9",5,20,7,6,14,5,20,9,8,3,8,20,6,5,19,15,8,7,16,13
"10",2,10,17,7,3,9,5,19,4,11,18,6,8,19,15,9,7,3,17,4
"11",14,3,14,10,16,18,19,10,7,17,17,2,21,17,22,14,19,8,7,6
"12",4,14,6,17,10,19,9,11,5,9,16,21,18,11,9,20,4,21,4,2
"13",22,1,12,11,2,15,12,15,12,22,9,15,2,22,18,22,1,22,12,15
"14",15,5,3,15,1,10,17,6,1,6,1,1,9,10,6,11,2,11,11,22
"15",8,13,4,20,15,14,14,5,17,7,10,4,3,18,17,3,15,18,20,5
"16",13,17,5,3,20,8,21,20,2,15,15,14,14,14,12,2,22,20,13,16
"17",12,16,13,8,7,16,6,2,21,1,20,18,4,12,14,10,21,9,3,20
"18",7,21,1,18,4,11,3,3,11,20,13,9,13,15,1,17,16,2,8,14
"19",17,15,11,1,18,20,1,1,14,21,6,5,12,1,10,13,5,12,15,3
"20",11,6,15,21,21,21,10,21,9,5,2,16,10,9,13,18,18,1,21,11
"21",1,12,19,19,12,22,22,13,10,18,22,11,1,6,5,1,12,10,14,21
"22",18,11,21,14,9,1,7,4,3,19,5,19,19,13,20,8,13,16,19,12
