"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",11,1,23,2,15,14,22,23,19,15,14,16
"2",12,9,1,4,1,23,10,15,23,1,9,1
"3",20,11,11,23,11,5,6,18,20,19,12,10
"4",8,5,7,10,21,4,14,21,15,7,4,7
"5",17,16,9,13,3,15,2,22,12,4,21,14
"6",19,20,3,18,18,12,16,14,17,10,10,21
"7",3,7,18,17,20,18,5,10,21,9,23,12
"8",5,21,21,9,12,13,8,17,2,6,11,8
"9",1,13,8,15,17,16,20,19,5,21,16,2
"10",9,18,6,7,10,19,7,7,16,20,17,22
"11",22,3,12,8,19,8,9,5,6,2,15,18
"12",15,14,16,6,16,11,4,3,14,13,5,3
"13",13,19,19,19,7,3,21,6,18,3,18,4
"14",18,23,14,1,22,22,13,12,9,17,20,6
"15",6,2,4,21,4,10,3,9,8,14,13,5
"16",21,6,20,11,5,17,18,8,13,22,8,9
"17",7,12,10,22,14,21,19,4,10,5,7,15
"18",16,4,17,20,8,20,11,20,3,12,2,23
"19",23,17,5,3,9,7,23,11,4,8,1,11
"20",10,15,22,16,23,2,1,13,7,23,6,19
"21",14,8,2,12,13,1,15,2,1,16,22,13
"22",4,10,15,5,6,6,17,16,11,11,19,20
"23",2,22,13,14,2,9,12,1,22,18,3,17
