"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,18,7,20,3,1,6,14,20,12,15
"2",4,6,16,18,7,19,21,11,11,7,23
"3",7,12,5,12,22,16,3,4,6,10,18
"4",9,17,22,14,20,23,12,15,14,9,4
"5",17,8,9,15,6,7,11,16,4,21,21
"6",22,23,4,19,19,13,9,9,12,24,2
"7",11,24,20,9,4,14,15,8,1,1,17
"8",6,3,10,3,8,10,10,3,21,5,3
"9",1,10,23,4,11,18,8,22,8,23,13
"10",15,15,3,5,10,4,17,10,10,8,11
"11",18,9,24,21,24,8,23,6,18,4,14
"12",10,4,2,23,14,15,16,17,17,17,16
"13",20,14,6,8,16,21,13,23,19,3,22
"14",21,1,21,11,13,2,7,1,13,14,20
"15",13,20,11,16,12,22,22,2,23,22,12
"16",23,11,18,13,5,12,18,20,22,11,7
"17",8,19,1,10,1,9,24,24,7,15,1
"18",24,2,8,2,23,24,20,13,2,13,9
"19",14,16,19,1,17,11,2,12,24,16,24
"20",5,22,14,6,21,6,19,19,15,20,19
"21",16,7,13,7,2,20,4,7,16,19,6
"22",12,5,12,17,18,3,1,21,9,2,8
"23",3,13,17,22,15,5,14,5,3,18,5
"24",19,21,15,24,9,17,5,18,5,6,10
