"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",9,10,14,9,3,21,2,2,4,21,16,10,12
"2",3,1,22,12,14,24,15,14,5,6,17,21,6
"3",10,19,15,8,21,19,21,16,20,8,10,16,18
"4",19,8,16,7,8,7,16,15,18,17,19,3,7
"5",5,21,10,16,9,8,18,6,7,16,11,14,2
"6",6,5,3,21,22,13,4,18,19,12,15,11,3
"7",20,20,1,23,10,23,14,7,23,24,18,12,19
"8",21,18,21,15,11,9,3,17,3,10,7,8,15
"9",2,12,11,3,12,10,1,9,22,11,23,24,23
"10",7,6,2,5,5,6,11,12,2,3,3,15,17
"11",15,14,19,2,18,1,13,1,24,5,9,9,1
"12",24,4,24,1,1,15,20,24,9,15,12,13,24
"13",14,3,17,18,6,16,10,5,21,14,6,20,11
"14",11,17,20,22,4,14,23,10,12,2,24,7,5
"15",8,15,18,19,16,4,9,21,10,19,20,17,20
"16",4,24,23,10,24,12,8,4,16,20,1,1,16
"17",16,11,13,24,20,11,19,19,1,23,2,23,8
"18",1,13,8,20,7,22,17,23,14,7,5,4,14
"19",18,7,12,17,19,18,7,8,8,4,13,2,21
"20",13,23,5,4,17,17,12,20,6,13,22,5,10
"21",17,22,9,11,2,3,5,22,17,1,14,22,9
"22",22,9,4,14,23,5,22,3,11,9,21,19,13
"23",23,16,7,6,15,20,6,11,13,18,4,18,4
"24",12,2,6,13,13,2,24,13,15,22,8,6,22
