"","V1","V2","V3","V4","V5","V6"
"1",19,5,10,20,21,2
"2",2,15,15,17,24,8
"3",13,13,7,14,15,6
"4",16,24,8,1,23,17
"5",24,22,12,11,13,4
"6",6,23,21,15,10,11
"7",15,21,1,21,5,9
"8",5,7,4,2,9,5
"9",1,4,24,4,14,19
"10",14,6,16,22,12,16
"11",17,18,18,13,8,20
"12",10,12,22,24,2,3
"13",4,19,6,23,17,21
"14",9,3,3,12,20,12
"15",8,1,13,18,7,23
"16",12,9,20,9,22,22
"17",11,17,11,5,3,13
"18",20,14,2,7,11,24
"19",18,10,14,3,16,10
"20",21,2,19,8,4,7
"21",7,20,17,6,19,1
"22",23,8,5,16,1,18
"23",3,11,9,10,6,15
"24",22,16,23,19,18,14
