"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",21,17,19,4,19,19,20,10,3,22,23,3,14,25,2,4,4,17,9,10,12,12,13
"2",12,15,24,11,22,12,24,25,7,1,14,2,19,6,14,19,22,7,14,14,18,23,25
"3",15,21,7,21,14,21,6,17,9,5,9,25,10,19,17,6,3,2,24,9,13,17,24
"4",2,12,14,19,2,17,17,9,24,14,24,24,16,23,24,12,18,5,16,17,17,3,21
"5",24,9,23,22,1,3,11,6,23,6,11,7,6,12,4,5,12,11,13,8,16,22,4
"6",20,7,5,17,18,5,5,2,11,19,21,20,12,22,12,21,21,8,8,22,11,19,6
"7",1,13,15,1,15,22,9,1,12,8,18,15,18,14,7,11,24,20,25,2,24,25,10
"8",18,25,21,14,6,9,7,4,16,24,16,23,24,2,19,9,14,21,6,11,21,14,18
"9",6,18,17,10,5,16,4,7,5,7,22,11,9,5,20,22,7,14,20,19,2,15,3
"10",10,4,16,18,7,10,16,23,6,16,3,9,17,17,21,7,2,19,3,23,15,24,8
"11",9,2,22,7,16,20,8,8,21,3,5,10,21,18,9,25,13,3,5,18,9,10,16
"12",3,20,13,23,20,14,3,22,17,18,4,19,20,3,3,16,9,10,10,4,14,9,2
"13",11,11,4,5,9,6,2,19,22,21,19,5,15,8,11,8,8,1,22,15,20,6,9
"14",14,24,25,2,23,8,10,21,18,9,12,16,11,24,23,3,19,13,17,25,4,7,11
"15",17,22,18,24,13,1,23,20,10,13,20,12,2,16,8,24,10,12,1,16,25,2,19
"16",23,19,3,16,12,11,12,3,2,12,2,4,22,10,6,14,16,15,23,24,7,5,23
"17",22,3,20,8,11,15,15,15,4,23,8,18,3,15,18,17,20,6,21,5,22,8,5
"18",16,16,12,15,3,24,22,18,19,20,10,8,23,21,10,23,17,22,18,7,3,18,7
"19",4,6,9,12,17,2,19,16,1,4,17,21,25,13,16,2,11,23,12,13,6,4,1
"20",13,1,10,20,25,13,1,14,25,10,25,1,1,11,15,13,25,18,2,6,1,13,14
"21",7,8,1,25,21,23,18,12,13,25,1,14,5,4,13,1,15,16,19,21,19,16,17
"22",19,5,11,3,10,18,13,24,20,11,15,22,4,7,1,18,5,24,15,20,10,20,20
"23",25,10,2,13,8,25,25,13,15,2,13,13,13,1,25,15,1,9,4,1,8,1,12
"24",5,23,8,6,4,7,21,11,8,17,6,17,7,9,5,10,23,4,7,12,5,21,15
"25",8,14,6,9,24,4,14,5,14,15,7,6,8,20,22,20,6,25,11,3,23,11,22
