"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",13,1,26,15,10,4,2,26,14,26,12,26,13,26,14,13,1,1,10
"2",18,4,9,2,7,22,9,22,8,6,10,22,15,5,10,16,21,18,21
"3",3,19,8,25,12,12,10,23,25,1,16,9,8,24,21,2,23,15,16
"4",22,21,15,4,3,8,23,21,24,17,19,5,14,8,15,21,4,16,8
"5",21,16,22,11,9,6,22,9,19,7,11,8,23,20,9,6,20,6,22
"6",2,8,14,18,1,13,13,2,7,5,4,3,21,4,17,9,5,4,14
"7",20,7,6,20,11,14,18,12,21,8,2,19,7,23,7,20,6,24,6
"8",23,20,12,7,20,15,12,6,11,21,18,23,18,25,19,8,8,25,24
"9",15,13,1,6,25,20,26,1,23,14,15,18,6,3,13,3,18,2,11
"10",9,24,2,9,23,5,8,7,4,3,8,7,12,18,12,17,12,20,7
"11",16,15,5,17,2,2,4,16,9,18,25,1,3,12,8,7,16,26,17
"12",25,10,18,26,15,9,3,3,2,15,13,10,9,1,5,24,11,13,25
"13",24,5,4,19,22,10,24,25,6,12,22,16,25,19,25,15,15,11,13
"14",12,6,13,1,19,26,1,15,17,9,17,2,22,17,1,1,7,14,2
"15",11,2,25,23,18,18,16,4,20,16,24,4,16,15,16,18,22,21,18
"16",5,9,17,12,4,23,21,8,5,23,20,15,10,22,3,10,24,17,9
"17",17,11,16,10,17,19,11,20,10,20,5,6,4,21,23,22,19,5,3
"18",14,25,24,16,14,24,25,19,3,11,3,13,11,11,24,4,3,22,23
"19",26,26,11,14,26,17,6,14,22,25,1,11,19,10,2,14,26,9,15
"20",6,3,7,3,16,3,20,10,18,22,7,12,2,7,22,11,9,12,19
"21",4,12,21,8,6,16,5,11,26,13,9,25,26,13,26,26,14,23,12
"22",19,22,20,21,8,25,7,5,16,4,21,17,1,9,20,12,13,10,4
"23",10,18,10,13,13,1,19,13,1,10,26,24,17,2,18,25,25,7,1
"24",1,14,23,5,24,11,14,17,12,2,23,21,5,14,4,19,2,8,20
"25",8,23,3,24,5,21,17,18,13,24,14,14,24,16,11,23,10,3,26
"26",7,17,19,22,21,7,15,24,15,19,6,20,20,6,6,5,17,19,5
