"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",24,19,3,26,2,21,10,24,14,17,14,19,2,19,6,6,20,15,21,10,23,11,15,26,16
"2",10,16,7,22,23,20,9,12,12,6,21,9,18,6,23,10,17,4,5,22,21,5,5,18,25
"3",22,22,26,17,18,12,13,1,22,7,6,10,13,8,25,22,6,10,16,4,22,14,22,25,8
"4",21,6,19,25,7,14,22,11,10,8,3,20,4,10,20,7,5,11,4,11,10,21,4,6,20
"5",5,12,24,10,10,3,24,25,15,23,4,8,9,4,18,12,18,3,23,26,25,19,13,13,15
"6",7,15,14,16,12,25,25,7,18,14,19,23,7,3,3,23,21,8,10,5,8,8,19,2,22
"7",17,24,4,9,24,7,19,20,11,10,12,17,6,5,7,11,4,25,7,25,9,9,21,11,4
"8",19,11,6,18,26,22,26,10,1,18,2,5,21,25,10,14,13,18,9,3,19,18,25,10,14
"9",3,8,20,5,21,18,7,23,9,4,7,18,15,23,22,17,16,21,18,8,4,10,20,9,23
"10",12,14,9,1,6,26,8,3,16,15,9,2,3,18,26,21,9,23,6,20,1,20,12,14,9
"11",26,21,18,13,16,23,21,2,13,1,15,15,19,22,11,13,24,9,25,18,3,23,2,15,1
"12",9,1,13,15,13,16,20,26,20,3,10,24,25,13,12,2,11,22,1,2,26,2,11,17,11
"13",2,17,23,6,25,9,14,8,6,19,17,22,24,11,5,19,3,16,11,17,24,22,10,19,21
"14",14,26,25,3,1,17,2,22,5,12,25,12,14,14,9,24,26,6,3,1,12,16,7,12,13
"15",8,4,8,20,22,11,4,13,4,11,5,25,8,16,13,26,19,12,24,23,13,24,17,23,3
"16",18,2,2,7,11,4,23,14,23,24,13,16,17,17,24,25,22,20,8,15,16,13,1,22,24
"17",15,18,22,14,19,6,6,16,17,2,23,1,5,15,15,3,23,24,12,13,20,25,26,4,17
"18",4,23,16,21,5,5,15,9,8,25,22,6,12,21,19,4,12,17,2,7,7,12,18,20,2
"19",25,3,1,2,20,15,16,6,2,20,18,11,10,9,16,1,15,1,14,14,2,1,14,1,12
"20",16,7,17,11,14,24,3,19,7,22,16,3,1,2,17,16,2,14,17,6,17,4,3,21,5
"21",1,9,5,24,8,8,12,4,26,9,20,13,26,1,14,15,25,26,19,9,14,17,9,8,7
"22",11,5,21,19,3,2,5,5,21,16,11,14,16,24,8,8,1,2,15,19,11,3,24,16,19
"23",6,20,10,8,17,19,11,17,24,26,1,26,11,26,2,5,7,5,13,16,15,15,6,7,6
"24",20,13,12,12,4,1,18,18,3,5,24,21,22,20,21,20,8,7,20,21,18,7,16,3,10
"25",13,10,11,4,9,13,17,21,25,13,26,4,20,7,4,9,10,13,26,12,5,26,23,24,26
"26",23,25,15,23,15,10,1,15,19,21,8,7,23,12,1,18,14,19,22,24,6,6,8,5,18
