"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",5,9,17,9,20,11,22,6,17,5,21,3,23,4,3,18,18,8,9,5,15
"2",18,3,9,11,4,4,11,22,6,8,18,25,19,5,17,21,7,18,4,19,18
"3",21,21,21,22,15,2,18,18,26,12,24,6,8,9,18,22,4,4,13,11,5
"4",4,24,16,23,2,16,25,13,4,15,27,18,21,17,23,13,20,23,8,18,4
"5",2,13,25,4,11,17,8,24,16,22,19,17,3,6,21,8,13,3,10,20,26
"6",3,2,2,13,1,24,24,21,27,17,11,7,14,11,13,1,19,7,21,13,19
"7",20,5,22,1,16,23,21,14,21,25,15,22,10,24,6,23,25,22,6,16,17
"8",27,18,14,27,5,14,14,2,20,1,12,27,13,10,26,16,24,2,25,27,16
"9",14,14,10,12,27,27,27,3,15,7,10,13,1,27,16,14,2,1,1,17,1
"10",8,25,15,3,6,8,10,20,11,3,3,9,2,25,10,24,21,10,17,15,11
"11",1,6,12,26,21,20,13,25,9,11,26,26,9,21,8,9,1,13,20,6,12
"12",24,4,19,21,3,10,1,10,12,18,7,16,17,26,2,11,6,6,12,10,24
"13",9,17,26,7,7,26,4,12,23,14,6,24,24,7,12,15,3,21,18,4,9
"14",23,20,6,10,14,25,2,11,3,10,22,1,4,12,5,12,23,15,16,22,23
"15",17,23,3,18,19,22,15,27,14,21,2,21,20,1,4,20,14,9,15,26,3
"16",22,8,13,6,18,5,23,4,7,20,5,20,6,8,24,6,17,17,19,12,7
"17",7,10,23,19,17,21,16,8,10,6,4,5,16,15,22,25,8,20,22,21,25
"18",16,26,7,2,8,18,17,9,13,23,17,2,15,16,27,2,5,12,3,2,10
"19",6,22,5,20,25,7,6,5,22,16,13,23,5,18,19,26,15,14,7,7,21
"20",19,15,11,16,12,12,20,26,25,9,1,11,26,22,20,7,26,19,11,1,22
"21",15,1,27,14,13,13,7,1,5,27,23,14,27,14,14,27,27,11,27,9,2
"22",11,16,8,24,10,9,26,17,8,26,14,10,7,3,7,17,11,24,26,3,27
"23",12,11,18,25,23,3,3,23,19,24,9,4,18,13,11,10,22,16,2,23,8
"24",10,7,1,15,9,1,12,7,24,2,20,15,11,20,1,5,12,25,14,24,6
"25",25,12,4,8,26,15,5,19,18,19,25,8,22,23,25,19,10,26,23,14,13
"26",26,27,24,17,22,19,9,16,1,4,8,12,12,2,15,4,16,27,5,8,14
"27",13,19,20,5,24,6,19,15,2,13,16,19,25,19,9,3,9,5,24,25,20
