"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",4,28,1,28,27,28,5,21,9,16,13,15,2,20,18,14,14,25,10,15,14,14,28,10,22,28,1
"2",21,24,16,12,19,1,22,5,7,25,10,20,1,4,9,6,13,3,7,19,16,16,7,26,1,13,8
"3",26,20,17,3,4,24,20,3,5,11,16,10,10,24,16,23,20,26,27,14,22,19,3,6,13,10,24
"4",6,10,10,21,5,22,8,13,21,8,6,6,6,5,5,4,7,21,25,20,21,9,5,20,21,14,10
"5",19,9,23,6,3,25,18,20,19,22,12,23,5,12,25,1,21,9,12,12,3,27,26,19,20,8,13
"6",7,23,13,20,20,23,27,15,4,21,22,2,22,9,24,8,22,28,18,25,9,7,19,17,10,7,18
"7",18,6,5,25,15,19,13,23,17,10,5,25,25,3,21,25,15,5,4,27,13,17,2,9,11,5,21
"8",2,12,19,1,22,13,17,11,6,7,4,27,28,28,26,15,27,18,1,7,15,10,16,28,17,16,11
"9",24,17,24,23,18,16,10,6,20,5,27,17,12,25,27,13,8,2,20,23,6,15,20,4,25,9,6
"10",1,14,22,18,24,8,14,18,28,20,21,1,9,1,17,11,9,6,11,9,27,21,4,1,16,21,20
"11",8,11,12,24,1,3,21,2,25,24,26,22,13,16,2,18,19,14,3,24,18,12,24,13,18,23,25
"12",17,19,27,22,8,17,9,9,13,28,17,9,19,7,23,20,12,24,2,2,23,22,23,22,4,25,12
"13",27,4,11,11,11,15,25,26,23,17,25,5,3,22,22,16,16,7,26,3,11,11,12,24,9,27,9
"14",12,1,14,4,14,10,1,28,1,27,15,16,14,8,28,12,2,16,28,28,17,28,10,8,27,17,16
"15",9,22,18,26,13,5,23,24,18,9,20,14,7,15,13,24,6,22,5,8,1,1,13,27,28,6,17
"16",16,15,26,9,23,26,11,19,2,15,3,21,11,21,6,19,11,17,21,26,2,3,9,21,5,24,22
"17",3,21,7,14,6,4,6,27,15,4,2,18,15,19,20,10,24,8,19,18,25,24,21,25,7,12,23
"18",13,25,9,27,2,12,16,17,8,6,19,26,17,10,7,2,18,13,24,5,4,20,11,3,8,22,3
"19",20,5,3,17,7,7,19,7,12,19,9,19,20,26,19,9,5,27,16,4,5,6,6,16,23,19,26
"20",11,8,6,5,21,14,15,4,10,18,24,13,16,2,14,27,1,10,22,17,28,5,27,23,14,2,2
"21",10,7,25,2,17,20,24,22,14,3,18,7,27,18,8,3,4,1,15,13,19,13,22,11,2,20,27
"22",22,3,20,13,26,6,12,25,11,1,23,8,21,14,4,22,23,23,13,22,10,23,1,18,19,15,4
"23",14,2,21,15,12,27,3,10,27,14,28,24,18,17,15,7,25,19,8,10,24,8,8,7,3,4,5
"24",15,26,28,19,16,9,2,12,16,26,7,4,4,27,1,28,28,12,23,11,12,18,14,15,15,3,28
"25",5,13,2,7,9,11,26,16,26,23,8,11,23,23,10,26,10,20,9,21,7,25,17,5,6,11,7
"26",28,27,15,16,28,21,28,8,22,12,1,28,24,11,12,21,3,11,17,16,26,26,15,14,24,26,14
"27",25,18,4,8,25,18,4,1,24,2,14,12,8,6,11,5,26,15,6,1,8,4,18,12,12,18,19
"28",23,16,8,10,10,2,7,14,3,13,11,3,26,13,3,17,17,4,14,6,20,2,25,2,26,1,15
