"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",21,24,7,10,22,25,27,27,4,18,12,4,5,9,14,16,22,21,11,20,21,28
"2",13,20,3,17,7,5,24,23,26,16,3,13,25,17,20,2,13,20,4,7,27,6
"3",18,9,10,5,26,17,23,11,21,26,18,16,23,22,12,5,26,26,26,6,7,25
"4",25,2,13,27,18,10,11,25,12,4,2,24,19,18,24,27,24,18,12,9,13,27
"5",28,28,11,29,13,15,18,12,11,25,10,1,21,2,27,7,7,15,29,22,29,15
"6",1,29,1,9,16,16,1,20,13,1,29,11,29,14,9,15,1,28,15,1,16,13
"7",19,21,5,11,14,23,7,6,19,11,25,17,18,21,26,25,23,8,22,24,25,3
"8",8,23,9,2,3,27,12,15,2,8,5,22,12,29,4,12,19,16,28,8,14,11
"9",2,12,6,8,4,7,19,28,17,20,24,29,13,25,23,14,6,11,13,18,2,23
"10",12,27,21,4,15,3,9,3,25,21,7,6,27,13,2,26,20,14,14,17,4,21
"11",6,22,14,20,19,24,20,7,29,3,13,18,3,10,25,3,5,4,16,10,8,20
"12",4,7,24,16,29,6,3,5,1,5,11,14,14,15,21,18,15,25,27,21,28,24
"13",3,26,25,25,10,19,13,13,23,24,14,27,6,23,17,20,28,27,10,14,23,7
"14",22,19,19,23,11,8,4,17,6,23,23,12,4,24,1,4,14,10,20,4,20,26
"15",7,16,2,18,27,4,14,10,7,28,27,8,10,3,16,28,25,9,1,12,12,14
"16",16,8,15,26,5,22,2,1,16,14,20,3,9,11,29,11,21,23,5,3,3,12
"17",24,3,8,13,9,11,17,9,28,10,16,9,2,27,5,24,8,24,3,27,15,18
"18",10,5,27,7,12,13,26,19,9,12,8,7,7,19,22,6,27,7,18,28,10,10
"19",23,15,26,3,24,12,10,21,27,17,28,21,1,5,28,13,12,22,25,16,11,5
"20",9,11,4,24,25,18,5,18,24,13,9,28,20,6,6,8,17,6,8,26,18,22
"21",20,25,20,22,23,2,25,8,10,6,26,26,16,20,10,10,11,17,7,25,6,9
"22",5,4,16,19,8,21,21,24,5,27,22,19,24,8,3,22,16,19,17,23,9,2
"23",26,17,28,6,6,14,22,2,8,7,19,23,26,4,15,19,18,5,9,5,24,19
"24",11,13,22,28,28,26,28,22,20,9,21,2,28,28,19,23,10,13,21,13,17,17
"25",17,18,29,21,1,29,15,16,15,15,1,15,15,1,13,29,2,29,19,29,1,29
"26",14,6,12,14,20,9,29,4,18,22,4,25,8,7,8,21,3,12,23,2,22,8
"27",29,14,17,15,2,1,16,29,22,2,15,5,17,12,7,9,29,1,24,15,19,1
"28",15,1,23,1,17,28,8,26,14,29,17,20,11,16,11,1,9,2,2,19,26,16
"29",27,10,18,12,21,20,6,14,3,19,6,10,22,26,18,17,4,3,6,11,5,4
