"","V1","V2","V3","V4"
"1",19,27,15,23
"2",4,2,8,21
"3",11,16,14,11
"4",2,17,21,25
"5",18,10,10,15
"6",29,9,26,2
"7",10,28,25,20
"8",7,24,11,28
"9",24,3,17,27
"10",9,5,27,14
"11",16,11,24,29
"12",6,12,18,17
"13",5,22,28,8
"14",23,23,23,16
"15",13,20,12,1
"16",25,29,9,7
"17",14,1,22,9
"18",27,6,13,19
"19",26,18,20,12
"20",21,15,29,22
"21",22,13,7,10
"22",20,4,1,5
"23",3,7,16,6
"24",12,8,4,24
"25",15,19,2,18
"26",8,14,6,3
"27",28,21,5,26
"28",1,26,3,13
"29",17,25,19,4
