"","V1","V2","V3","V4","V5"
"1",6,9,23,4,3
"2",25,28,22,13,19
"3",7,23,8,10,17
"4",5,27,15,24,25
"5",3,22,26,14,10
"6",27,21,10,17,27
"7",14,20,6,22,2
"8",10,29,11,5,6
"9",28,3,28,23,14
"10",29,17,16,1,9
"11",19,6,14,15,1
"12",9,18,24,26,15
"13",18,19,19,6,21
"14",24,7,7,3,16
"15",21,5,25,9,26
"16",1,11,18,19,18
"17",4,4,9,27,8
"18",12,13,13,12,13
"19",8,2,2,16,22
"20",13,25,29,2,24
"21",20,26,3,20,12
"22",11,8,21,21,28
"23",23,24,20,28,4
"24",22,14,12,25,23
"25",15,1,17,8,11
"26",17,15,27,18,7
"27",16,10,5,29,20
"28",26,12,1,11,5
"29",2,16,4,7,29
