"","V1","V2","V3","V4","V5","V6","V7"
"1",29,2,11,15,29,19,27
"2",14,22,5,18,18,24,14
"3",6,29,15,20,10,3,18
"4",4,4,20,27,22,8,15
"5",28,15,29,22,7,9,12
"6",5,19,1,1,27,23,20
"7",11,25,25,25,14,20,25
"8",21,18,8,11,9,18,16
"9",12,11,16,9,25,14,13
"10",3,14,26,4,11,17,4
"11",2,9,6,19,16,11,23
"12",1,24,13,14,3,27,11
"13",16,1,28,5,19,28,17
"14",19,27,21,3,6,12,22
"15",13,13,4,6,4,2,26
"16",8,26,9,8,21,10,1
"17",26,12,10,28,12,29,21
"18",18,3,2,13,13,7,5
"19",17,16,14,23,20,13,28
"20",25,23,27,12,23,5,24
"21",10,5,7,24,5,21,7
"22",20,10,22,21,24,26,2
"23",24,28,3,26,26,16,9
"24",9,17,23,16,28,1,8
"25",15,20,17,29,1,6,3
"26",7,7,19,10,8,25,29
"27",27,21,18,7,15,22,6
"28",23,6,24,17,2,15,19
"29",22,8,12,2,17,4,10
