"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",22,24,24,22,4,4,9,8,12,9,25,24,5,21,5,13,7,11,30,20,20,24,21,4,13,27,11,25,18
"2",12,18,4,18,7,7,29,4,13,6,28,7,8,12,27,26,17,17,13,8,7,9,28,5,16,12,23,3,29
"3",29,22,10,14,20,1,7,1,2,18,9,9,1,3,20,16,14,21,10,13,21,23,2,26,28,1,19,17,20
"4",13,21,27,8,24,26,2,3,25,25,7,27,9,25,29,10,21,15,16,26,22,15,9,6,18,11,9,8,6
"5",30,27,14,16,5,19,20,10,29,19,17,21,25,15,11,15,26,16,4,27,30,4,29,14,9,2,2,9,28
"6",2,3,13,1,14,5,22,23,28,15,23,25,7,22,16,24,19,13,19,23,26,27,25,25,30,18,24,7,12
"7",23,15,11,5,28,3,28,12,20,27,18,22,19,9,28,6,8,7,27,22,3,8,19,29,4,8,18,18,16
"8",21,16,28,24,15,8,11,25,7,23,4,6,26,8,8,22,13,6,22,21,19,7,27,22,21,10,5,5,4
"9",3,8,9,19,22,27,19,2,26,7,22,5,28,19,17,11,11,14,24,14,9,6,4,24,14,29,4,23,8
"10",26,23,7,6,3,20,25,27,6,3,13,4,24,23,23,9,24,2,21,9,23,20,23,12,19,19,17,20,10
"11",5,26,21,25,12,9,1,26,27,24,11,19,30,17,25,3,6,12,6,10,8,29,14,16,20,14,22,22,25
"12",4,28,16,17,17,2,23,14,15,30,6,16,21,24,9,21,28,22,26,5,17,13,1,2,2,16,21,30,5
"13",14,30,30,15,1,30,13,16,30,5,16,2,16,1,1,12,16,30,17,17,1,30,15,21,1,15,20,1,15
"14",24,9,12,23,8,29,17,18,18,14,8,12,4,29,7,4,20,5,18,24,6,11,7,10,24,5,25,29,24
"15",16,19,17,2,27,16,21,28,14,8,15,29,6,7,4,23,15,9,9,4,10,28,5,13,8,4,1,21,2
"16",18,7,23,20,25,23,24,21,23,17,27,15,29,6,22,17,23,29,29,3,13,22,20,3,22,3,13,6,22
"17",27,12,6,11,2,11,12,24,24,22,24,26,18,11,10,5,3,24,11,7,14,12,6,11,29,24,12,2,7
"18",10,20,26,7,26,22,26,20,3,12,1,23,15,26,12,18,5,20,12,15,5,5,26,20,26,26,15,28,27
"19",17,17,3,28,16,25,14,7,17,10,2,20,20,20,14,1,2,28,15,2,29,25,22,28,15,6,29,14,1
"20",28,25,25,30,29,15,8,30,16,16,29,11,13,16,21,25,29,23,20,29,2,10,13,19,11,30,26,16,9
"21",19,2,20,10,10,10,18,9,8,4,5,30,27,10,26,19,22,26,5,25,12,16,11,27,17,25,30,27,14
"22",8,11,5,21,6,18,6,22,10,20,14,28,14,27,24,27,18,27,28,11,25,2,12,23,5,7,8,24,19
"23",1,13,19,27,13,24,16,15,4,21,26,1,17,5,30,20,4,8,14,28,27,18,3,7,6,21,16,19,30
"24",11,5,1,26,19,17,30,11,9,28,19,3,10,14,6,8,30,19,8,30,15,26,18,18,27,9,10,26,11
"25",15,29,18,9,9,21,15,13,19,29,30,10,2,30,18,30,9,4,7,1,16,1,16,30,23,22,6,12,13
"26",9,14,22,3,18,12,4,6,11,11,20,13,23,2,3,7,25,10,25,6,28,3,10,15,25,23,27,10,21
"27",25,6,29,29,21,13,27,5,21,1,10,18,12,18,13,29,12,1,2,12,24,17,8,17,3,20,14,4,23
"28",6,1,15,4,30,14,10,19,1,2,12,8,3,13,15,2,1,25,23,19,18,14,17,1,10,13,3,11,26
"29",7,10,2,12,11,6,3,17,22,13,3,14,11,4,19,14,27,3,1,16,4,21,24,9,7,28,7,15,3
"30",20,4,8,13,23,28,5,29,5,26,21,17,22,28,2,28,10,18,3,18,11,19,30,8,12,17,28,13,17
