"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,28,13,27,29,16,12,11
"2",26,23,18,10,27,21,6,4
"3",13,7,11,30,4,26,8,3
"4",8,16,26,1,1,24,5,21
"5",2,9,20,6,20,27,24,13
"6",7,4,15,15,22,17,2,30
"7",19,13,22,20,24,22,14,19
"8",24,12,9,5,10,11,3,12
"9",6,26,23,7,5,6,15,2
"10",15,25,7,23,19,29,4,18
"11",9,14,21,22,11,15,29,5
"12",30,10,6,18,30,25,30,25
"13",21,18,8,26,23,7,25,1
"14",27,27,12,2,21,1,21,22
"15",16,8,27,14,28,9,20,8
"16",18,3,5,3,17,18,16,6
"17",20,2,14,12,2,3,28,17
"18",17,29,19,17,9,8,7,24
"19",10,15,3,9,25,5,10,15
"20",22,6,29,8,12,30,11,28
"21",12,30,1,13,14,23,26,10
"22",14,22,24,4,26,13,27,27
"23",3,5,4,24,7,10,22,20
"24",1,20,30,19,16,2,1,7
"25",5,19,10,11,13,20,19,23
"26",29,1,25,25,18,12,9,14
"27",11,11,17,28,15,4,17,26
"28",25,21,2,21,3,14,13,29
"29",28,17,16,16,6,28,18,9
"30",23,24,28,29,8,19,23,16
