"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",28,27,11,15,19,1,2,17,4
"2",29,17,7,28,9,20,24,23,16
"3",27,2,4,1,8,8,15,10,21
"4",30,9,27,7,29,15,4,14,13
"5",11,21,2,5,6,28,1,8,10
"6",6,26,17,19,7,14,5,26,20
"7",21,28,13,2,30,27,20,28,24
"8",18,24,22,6,11,13,27,16,27
"9",25,14,18,11,13,26,29,3,5
"10",19,20,16,13,21,18,14,12,17
"11",26,7,20,20,25,4,23,24,29
"12",8,16,24,3,24,2,10,2,19
"13",16,5,19,29,14,10,3,5,23
"14",13,10,14,27,3,3,26,13,9
"15",14,11,5,9,18,23,6,22,26
"16",3,8,10,12,12,5,12,29,11
"17",12,1,28,23,20,25,28,30,18
"18",17,6,8,18,27,21,18,6,7
"19",24,22,9,22,1,16,8,1,30
"20",7,3,15,4,16,17,22,20,3
"21",23,25,29,25,17,6,19,9,12
"22",5,15,12,24,15,29,16,15,28
"23",4,29,6,10,22,11,25,4,14
"24",9,19,3,17,28,7,30,18,22
"25",10,30,25,21,10,22,13,11,1
"26",1,12,30,14,4,19,21,7,25
"27",22,4,23,16,5,30,9,19,15
"28",15,18,26,8,2,9,17,25,6
"29",20,13,1,26,23,12,11,27,2
"30",2,23,21,30,26,24,7,21,8
