"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",9,26,2,30,21,15,29,28,5,30,18,17,25,21,10,8,24,25,25,20,3,6,18,23,13,12,7,21,21,4
"2",20,9,30,6,27,22,1,12,1,24,2,12,5,12,3,16,16,24,27,15,9,16,21,1,1,15,14,31,14,27
"3",19,21,1,10,12,7,13,1,22,26,3,9,13,5,8,13,28,21,5,31,27,12,3,22,16,2,16,2,13,12
"4",26,22,3,17,2,29,23,10,31,18,19,8,11,26,19,30,13,7,28,4,24,8,22,30,14,11,24,22,15,24
"5",16,7,31,9,24,8,20,15,11,19,28,23,4,27,15,27,29,30,9,7,19,1,12,28,11,20,3,10,28,15
"6",13,23,7,23,26,28,6,20,25,23,30,26,3,18,29,17,1,15,24,26,22,24,30,18,23,14,4,5,16,11
"7",8,28,8,12,7,21,31,17,16,17,1,31,20,9,23,31,15,31,15,12,12,17,1,3,30,3,1,20,23,17
"8",29,3,24,27,15,27,21,24,7,25,27,5,14,7,21,11,20,14,11,18,20,3,7,12,24,6,6,25,6,25
"9",28,10,16,4,10,4,19,29,28,22,21,30,7,16,14,10,9,19,20,24,10,18,5,31,27,24,23,27,26,6
"10",2,29,5,7,25,3,16,25,9,10,5,13,15,20,17,21,21,12,2,19,29,23,23,11,20,21,29,30,31,22
"11",1,8,10,29,30,31,17,2,27,16,11,7,23,29,6,12,18,10,16,10,15,20,6,6,7,13,10,7,29,7
"12",27,15,17,16,22,25,5,23,14,20,14,25,24,13,5,4,7,20,4,3,30,2,24,10,4,1,26,17,27,10
"13",22,13,13,3,20,23,28,21,13,6,6,20,8,24,22,9,30,3,29,5,4,22,9,14,21,5,19,8,9,8
"14",6,12,21,11,18,19,3,31,29,27,15,16,26,6,31,24,19,5,31,13,21,31,4,27,17,19,31,16,1,14
"15",3,5,4,22,9,20,11,11,3,8,22,21,16,10,18,7,17,23,6,2,14,30,25,29,29,18,17,4,8,2
"16",24,6,11,14,14,13,12,26,19,14,24,14,19,28,27,1,25,29,30,27,26,19,31,4,8,26,11,19,11,31
"17",15,1,6,5,11,2,7,3,6,11,13,29,22,31,30,19,2,16,21,14,11,5,15,20,12,4,22,15,5,26
"18",11,25,9,15,16,6,27,14,8,29,23,3,6,1,11,3,3,6,17,16,17,26,20,5,2,29,25,11,7,13
"19",5,19,29,28,3,9,14,27,18,15,4,27,1,15,9,2,11,4,23,9,28,7,14,15,28,17,13,13,3,28
"20",31,27,20,18,17,26,10,4,15,3,7,2,2,30,13,22,10,27,12,17,2,15,28,26,19,22,9,18,2,9
"21",17,30,23,8,1,30,25,19,26,13,20,22,17,11,2,20,22,9,3,29,8,14,16,17,5,28,5,14,4,1
"22",21,2,14,31,5,24,15,8,12,28,9,24,27,14,12,28,31,2,19,30,16,29,27,16,15,30,15,28,24,21
"23",18,4,27,25,23,16,30,9,21,12,8,6,18,3,24,26,4,22,26,22,25,11,17,13,26,23,27,9,25,3
"24",23,24,18,24,31,5,8,30,4,1,17,18,12,8,26,29,14,13,18,1,5,10,8,8,10,27,12,1,19,16
"25",25,11,15,13,13,11,26,16,2,2,12,10,28,19,4,23,8,11,13,25,31,27,13,25,31,10,2,6,18,30
"26",30,16,28,21,6,1,18,22,23,7,31,11,31,2,16,15,23,26,22,11,6,25,26,19,6,7,30,12,20,18
"27",10,14,26,1,8,17,9,18,17,31,25,1,29,25,25,14,12,8,7,28,1,9,19,2,18,16,20,3,30,20
"28",7,18,25,19,4,18,2,5,10,4,26,28,10,22,7,25,26,17,14,23,23,21,10,7,9,9,28,26,12,5
"29",12,31,22,20,29,10,4,13,24,21,10,4,21,23,20,5,27,18,10,6,7,28,11,21,25,31,21,23,17,29
"30",14,20,12,26,19,14,24,7,30,5,29,15,30,17,1,18,5,28,1,8,13,4,2,9,22,25,18,29,10,19
"31",4,17,19,2,28,12,22,6,20,9,16,19,9,4,28,6,6,1,8,21,18,13,29,24,3,8,8,24,22,23
