"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",21,25,22,24,3,27,20,20,20,34,32,8,9,35,20,4,34,12,13,31,16,3,4,32,6,19,34,18,27,18,27,9,11,1
"2",34,16,18,16,27,35,34,13,17,19,34,33,2,17,35,31,18,7,21,32,13,24,26,12,24,1,35,20,5,9,18,2,28,9
"3",18,14,6,11,18,13,8,21,26,10,1,26,11,21,16,11,1,13,19,3,11,22,2,18,35,35,33,1,34,31,20,7,34,25
"4",9,15,33,30,17,23,18,12,10,3,30,12,13,29,9,19,3,25,33,29,7,27,27,11,22,33,21,28,28,26,10,28,4,6
"5",33,19,30,14,19,6,23,11,21,1,17,22,23,6,3,28,32,3,15,2,9,35,3,4,9,12,8,17,20,32,1,20,12,14
"6",27,4,11,21,29,32,24,34,32,12,7,20,20,33,29,8,29,17,16,22,6,29,16,25,14,32,12,12,12,24,7,33,30,3
"7",15,35,19,8,20,8,19,7,33,5,35,28,16,7,21,14,2,21,6,25,31,32,29,27,11,23,2,33,14,10,28,13,25,13
"8",6,22,3,23,30,4,31,17,28,23,26,3,14,34,11,18,8,4,26,21,28,30,5,17,31,15,11,13,8,5,34,27,17,26
"9",5,17,12,1,35,2,15,30,11,33,33,30,27,24,34,30,28,20,17,11,24,26,17,30,30,20,13,29,26,27,13,11,10,23
"10",32,8,35,34,8,1,16,23,1,11,13,2,18,16,17,6,17,1,7,35,12,4,19,15,29,28,10,31,13,13,12,12,20,30
"11",28,23,5,22,13,5,3,8,19,25,6,15,17,3,28,7,23,27,30,14,19,31,25,13,2,2,17,32,21,22,24,1,5,34
"12",30,30,32,20,32,9,9,26,14,22,15,32,22,27,18,12,22,15,34,26,33,1,23,2,16,22,31,2,3,35,19,25,9,12
"13",10,24,2,18,6,16,1,5,34,16,18,34,1,20,4,9,31,32,25,16,10,6,21,34,26,21,15,24,33,12,2,23,22,11
"14",13,27,13,2,1,18,12,33,16,7,23,17,31,22,1,1,14,8,32,28,4,23,20,7,4,16,5,14,18,3,23,18,33,35
"15",23,9,34,4,24,34,35,2,29,17,27,16,30,19,13,5,33,24,24,8,32,18,10,6,19,31,30,26,17,14,31,16,8,28
"16",17,6,21,31,23,10,7,35,31,30,12,27,34,15,27,20,9,5,23,30,30,12,6,14,3,9,16,22,31,15,9,17,2,7
"17",35,10,25,9,25,17,25,29,18,21,2,24,15,31,10,35,5,35,35,17,22,11,34,33,7,27,19,16,22,8,6,6,18,31
"18",26,28,14,5,33,24,4,6,25,6,11,11,7,26,8,24,15,18,12,7,26,8,32,16,28,8,6,11,10,16,11,10,6,2
"19",7,31,27,27,22,25,30,3,12,26,9,19,28,11,31,3,4,10,22,6,14,2,33,20,32,24,1,15,23,23,16,26,26,22
"20",16,13,15,29,31,26,27,25,15,2,3,35,25,1,12,17,24,31,9,13,20,7,9,10,34,13,24,35,19,4,25,21,31,5
"21",11,2,29,19,5,11,33,4,13,18,4,6,24,25,2,21,20,19,4,34,34,33,12,28,21,10,20,9,30,19,21,5,35,21
"22",22,29,31,26,10,15,26,27,27,13,25,25,5,12,24,32,30,28,10,27,21,21,15,24,25,3,4,4,24,2,15,30,3,27
"23",31,26,4,13,2,29,6,31,8,27,24,14,19,13,15,29,13,23,5,5,27,34,8,19,13,29,25,21,32,7,14,29,27,10
"24",29,11,23,15,34,21,10,9,23,14,20,5,33,5,26,26,10,16,8,23,1,17,24,35,33,17,28,25,29,29,33,31,21,33
"25",24,7,7,35,7,31,32,15,3,8,22,29,21,28,19,23,19,11,31,12,23,15,31,26,5,7,3,23,35,33,29,24,16,19
"26",19,21,16,25,16,30,22,16,4,31,14,31,35,10,7,10,6,14,3,10,2,28,22,31,17,6,26,6,9,6,4,14,7,29
"27",25,34,1,6,12,12,28,28,9,9,31,7,26,8,30,13,11,33,27,19,5,10,7,21,23,11,29,19,6,25,8,8,14,16
"28",3,20,24,28,4,33,2,22,35,4,8,4,4,14,33,25,7,34,20,18,25,25,18,1,10,26,27,10,16,34,22,15,15,18
"29",1,18,26,3,11,20,11,1,6,20,5,23,6,32,25,15,16,2,14,9,8,16,11,22,12,18,18,34,4,1,30,35,1,15
"30",8,32,20,32,28,14,13,14,2,15,19,9,32,2,14,33,25,22,28,1,15,20,14,23,8,34,14,5,2,17,35,4,19,4
"31",12,33,8,33,15,22,29,10,22,29,21,21,8,23,22,27,26,6,2,20,29,9,13,5,15,25,23,27,11,30,5,3,32,32
"32",2,12,17,12,21,28,14,24,24,32,16,13,10,9,5,2,21,30,29,33,35,13,1,29,18,4,7,30,7,28,17,34,23,20
"33",14,3,10,7,14,7,21,32,5,28,10,10,3,4,6,22,27,9,18,24,18,14,30,8,27,30,32,7,25,11,32,32,13,17
"34",20,1,28,10,26,19,5,19,7,35,28,1,12,18,32,16,35,26,1,15,17,19,28,9,1,14,9,8,1,21,3,22,29,24
"35",4,5,9,17,9,3,17,18,30,24,29,18,29,30,23,34,12,29,11,4,3,5,35,3,20,5,22,3,15,20,26,19,24,8
