"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,1,2,4,2,1,3,3,3,2,3,2,2,4
"2",3,2,1,2,3,2,3,4,4,4,4,1,1,4
"3",3,1,4,3,1,3,1,3,1,4,3,1,3,3
"4",4,2,4,4,3,1,2,1,2,1,4,3,3,3
"5",3,4,1,1,4,1,4,3,1,2,3,3,3,1
"6",4,2,3,3,4,4,4,2,3,2,2,1,4,4
"7",1,3,3,4,3,2,2,2,1,3,1,1,2,1
"8",2,2,1,3,1,2,1,1,4,2,2,4,3,1
"9",1,3,4,2,4,3,1,4,3,2,4,2,2,2
"10",4,3,1,4,1,3,4,4,2,3,2,3,1,2
"11",2,4,2,3,3,4,2,4,1,3,4,4,4,4
"12",3,4,3,1,2,1,1,1,2,3,2,2,1,4
"13",2,1,3,2,2,4,4,1,2,4,4,3,2,1
"14",2,4,2,4,4,3,3,1,4,4,1,2,3,3
"15",1,3,4,1,2,2,4,2,4,3,3,4,4,3
"16",3,3,4,3,2,4,3,3,3,1,1,4,1,1
"17",4,1,2,1,3,2,1,3,3,4,1,3,4,2
"18",1,1,1,2,4,3,2,2,2,1,2,4,1,3
"19",4,4,2,1,1,4,2,2,4,1,3,1,2,2
"20",2,2,3,2,1,1,3,4,1,1,1,2,4,2
