"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,3,3,1,3,3,2,2,2,1
"2",1,3,1,3,3,2,2,1,1,2
"3",1,2,1,2,2,3,1,3,1,1
"4",3,2,3,2,3,2,3,2,1,3
"5",3,1,1,3,3,3,2,3,2,2
"6",2,1,2,2,3,2,1,1,3,1
"7",2,1,3,3,2,3,3,3,3,2
"8",3,1,2,1,1,2,2,3,1,1
"9",3,2,2,3,1,3,1,2,3,3
"10",1,2,2,1,3,1,3,3,3,2
"11",2,2,1,1,1,1,2,1,3,3
"12",3,2,3,3,2,1,2,1,1,1
"13",1,3,3,2,1,2,2,3,3,3
"14",1,1,2,1,2,3,3,1,2,3
"15",2,3,2,3,2,1,1,3,2,3
"16",2,3,2,2,1,3,3,1,1,2
"17",3,3,3,1,2,2,1,1,2,2
"18",1,1,3,2,1,1,1,2,2,2
"19",3,3,1,2,2,1,3,2,3,1
"20",2,1,1,1,3,1,1,2,1,3
"21",1,2,1,3,1,2,3,2,2,1
