"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,1,3,2,1,2,1,2,1,3,2,1,1,3,2
"2",2,2,2,1,3,2,1,3,3,2,3,1,3,3,3
"3",1,3,2,3,2,3,1,2,3,1,1,2,1,3,3
"4",2,1,1,2,1,1,1,2,2,2,1,3,3,1,3
"5",2,2,3,3,2,3,2,2,1,3,3,3,3,2,3
"6",2,3,3,3,3,1,3,2,3,2,2,1,1,1,2
"7",1,2,1,2,2,1,2,1,1,2,1,1,1,2,3
"8",3,1,2,1,2,3,3,2,3,2,1,1,3,2,1
"9",1,3,1,1,1,3,3,3,1,2,2,3,2,3,2
"10",3,3,1,1,2,1,2,2,2,3,3,3,1,3,1
"11",1,3,3,1,2,2,1,1,1,2,2,2,3,1,1
"12",3,2,2,3,3,1,1,3,1,1,2,3,2,2,1
"13",1,2,2,3,1,3,2,3,2,3,1,1,2,1,1
"14",2,2,3,2,1,2,3,1,3,1,1,3,2,3,1
"15",2,1,1,2,2,2,3,3,1,1,3,2,1,1,1
"16",1,1,2,3,3,1,3,1,2,3,2,2,3,3,2
"17",3,3,3,2,3,2,3,3,2,3,1,2,2,2,3
"18",1,1,3,1,1,1,2,3,3,1,3,2,2,2,2
"19",2,1,2,1,3,3,2,1,2,1,2,3,1,1,3
"20",3,2,1,2,3,3,1,1,3,3,3,2,2,1,2
"21",3,3,1,3,1,2,2,1,2,1,3,1,3,2,2
