"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,3,1,2,1,1,2,1,3,1,3,3,2,2,2,1,1,2
"2",3,1,2,2,3,1,3,2,3,1,2,3,1,1,2,3,2,1
"3",3,2,3,3,2,1,3,3,3,3,3,2,2,2,3,2,1,3
"4",1,2,3,3,1,2,2,1,1,1,1,3,2,1,1,3,2,3
"5",1,2,2,2,3,3,3,2,2,3,3,2,3,1,1,1,3,3
"6",3,3,2,3,3,3,2,3,2,3,1,3,3,3,2,3,1,2
"7",3,1,3,1,3,3,2,1,3,2,1,1,2,2,1,2,3,2
"8",2,3,1,2,3,2,3,2,1,2,1,1,2,1,3,1,1,1
"9",1,2,1,1,3,1,2,3,1,2,2,1,1,3,2,1,2,3
"10",2,3,3,2,1,2,3,3,2,2,3,1,1,3,1,3,3,2
"11",1,2,2,2,1,2,1,3,3,2,1,3,3,2,3,2,3,1
"12",2,3,1,3,2,3,1,1,3,2,2,2,1,1,3,3,3,3
"13",3,3,2,1,1,1,1,2,1,3,1,2,1,1,1,2,2,2
"14",1,1,2,1,2,1,3,1,1,2,2,2,3,3,3,3,1,2
"15",2,1,2,3,2,2,1,3,3,1,2,1,3,1,1,1,1,2
"16",3,3,3,1,2,2,1,2,2,1,2,3,2,3,3,1,3,3
"17",1,1,3,3,1,3,2,2,2,3,2,1,1,2,3,1,2,1
"18",2,1,1,1,1,3,3,3,2,1,1,2,3,2,2,2,2,3
"19",2,2,3,2,3,3,1,1,1,1,3,2,1,3,2,2,1,1
"20",3,2,1,1,2,2,1,1,2,3,3,1,3,2,2,3,2,1
"21",2,1,1,3,2,1,2,2,1,3,3,3,2,3,1,2,3,1
