"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,3,4,4,2,2,1,4,2,3,2,4,3,1,3,4,1,1,2
"2",4,3,1,3,1,1,3,1,4,4,3,3,1,1,1,2,3,1,2
"3",2,1,1,4,2,2,4,2,3,2,2,1,3,1,2,1,4,4,4
"4",2,3,4,3,4,4,2,4,3,1,3,2,3,3,1,1,3,1,4
"5",4,2,3,4,1,4,2,2,4,1,2,1,3,4,2,3,2,4,2
"6",2,4,2,2,3,4,1,1,4,1,2,2,2,1,4,4,4,3,2
"7",2,1,4,1,3,2,1,3,4,3,3,4,1,4,1,2,2,3,4
"8",1,2,1,4,4,3,2,3,3,4,1,4,2,3,3,4,3,3,1
"9",4,4,1,1,2,3,2,3,3,3,1,2,4,2,4,3,2,1,4
"10",3,4,3,1,1,3,3,4,4,2,4,4,2,2,3,1,3,4,1
"11",4,3,1,1,3,2,4,4,2,1,3,1,1,3,3,3,4,3,3
"12",4,1,4,3,2,3,1,1,2,4,4,1,2,2,3,1,2,3,3
"13",4,3,3,4,4,2,1,2,3,2,4,3,4,4,4,2,4,2,1
"14",1,2,4,2,2,1,3,1,3,2,2,2,1,3,4,2,1,4,1
"15",3,1,1,2,2,4,4,3,3,2,4,2,2,4,1,4,1,2,2
"16",3,1,4,2,1,2,3,1,1,1,1,3,4,3,3,4,3,2,4
"17",1,4,3,3,3,2,3,3,4,4,1,1,4,3,2,1,1,2,2
"18",1,2,3,3,1,3,2,4,1,3,4,2,1,1,2,3,4,2,4
"19",2,2,4,3,3,4,4,3,1,4,3,3,4,1,4,3,3,4,1
"20",1,1,2,3,4,1,4,2,4,1,4,4,3,2,3,3,2,1,3
"21",2,3,2,1,4,3,3,1,1,3,3,1,3,4,2,4,2,1,1
"22",1,4,3,1,2,1,2,2,2,4,4,3,3,3,1,4,4,4,3
"23",4,1,2,1,3,1,2,3,1,1,2,3,2,1,2,1,1,2,1
"24",3,2,2,2,4,1,1,4,2,3,1,1,4,2,1,2,3,4,2
"25",1,3,1,2,1,4,1,2,1,2,3,4,4,2,2,2,1,3,3
"26",3,4,3,4,4,3,4,1,2,2,1,3,1,2,1,3,1,3,4
"27",3,2,2,2,3,4,3,2,2,3,1,4,1,4,4,1,4,1,3
"28",2,4,2,4,1,1,4,4,1,4,2,2,2,4,4,2,2,2,3
