"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,3,3,2,4,4,4,2,2,4,1,3
"2",3,4,4,4,1,4,1,4,2,3,2,4
"3",3,2,1,1,1,1,2,2,1,3,1,1
"4",4,4,3,3,1,1,3,3,2,2,3,2
"5",1,2,2,2,1,2,3,1,4,4,1,2
"6",3,4,2,1,2,3,4,3,4,1,2,1
"7",1,2,3,3,2,1,4,4,1,1,3,3
"8",1,4,2,1,3,4,3,4,1,4,4,4
"9",1,3,3,4,3,3,2,3,4,3,1,4
"10",2,4,3,3,4,2,1,1,1,4,3,1
"11",3,2,4,3,1,3,1,3,3,4,4,3
"12",3,3,2,4,4,1,2,1,3,1,4,4
"13",1,3,4,1,3,1,1,1,2,1,2,2
"14",1,1,4,3,4,3,2,4,2,2,1,1
"15",4,1,3,1,1,4,4,1,3,2,1,4
"16",4,3,1,1,2,3,2,4,3,4,3,2
"17",1,4,1,2,4,1,4,2,3,3,4,2
"18",2,4,1,3,2,4,2,1,4,2,2,3
"19",4,1,2,2,4,1,1,4,4,3,2,3
"20",3,1,2,4,3,3,4,1,2,3,3,2
"21",2,2,2,2,3,4,1,3,3,2,3,1
"22",2,1,3,1,2,2,2,3,2,3,4,3
"23",2,3,1,4,1,2,4,4,4,2,4,1
"24",4,2,1,3,3,2,4,3,2,4,2,4
"25",4,3,2,4,2,2,1,2,1,2,1,3
"26",2,1,4,4,2,1,3,2,3,4,2,1
"27",3,4,4,2,3,2,3,4,3,1,1,3
"28",3,2,4,1,4,2,3,2,4,2,3,4
"29",2,2,1,4,4,4,3,3,1,1,2,2
"30",4,3,4,2,2,3,3,1,1,3,4,1
"31",4,1,3,3,3,4,2,2,4,1,4,2
"32",1,1,1,2,1,3,1,2,1,1,3,4
