"","V1","V2","V3","V4","V5","V6","V7"
"1",3,3,3,3,3,2,2
"2",3,1,1,3,1,2,2
"3",2,1,3,1,2,1,3
"4",1,2,1,1,1,3,3
"5",3,2,3,3,1,1,3
"6",2,3,3,1,3,3,1
"7",2,2,2,3,1,1,1
"8",3,3,2,1,1,2,2
"9",3,2,1,1,3,1,2
"10",2,3,1,1,2,3,3
"11",3,2,1,3,2,3,1
"12",1,3,2,1,3,1,3
"13",1,1,1,2,3,3,2
"14",1,3,1,3,2,1,3
"15",1,3,3,2,1,2,3
"16",2,1,2,1,2,2,1
"17",3,1,3,2,1,3,1
"18",1,2,1,1,1,2,1
"19",1,3,2,3,2,3,2
"20",2,2,2,3,3,2,3
"21",3,3,2,2,2,1,1
"22",3,2,2,2,3,3,3
"23",3,1,1,2,2,2,3
"24",2,2,3,2,2,3,2
"25",2,1,2,3,1,3,3
"26",3,1,2,1,3,3,1
"27",2,3,1,2,1,1,2
"28",2,1,3,3,3,1,2
"29",1,2,3,1,2,2,2
"30",1,1,2,2,1,1,2
"31",1,1,3,3,2,2,1
"32",2,3,1,2,3,2,1
"33",1,2,3,2,3,1,1
