"","V1","V2","V3","V4","V5","V6"
"1",1,2,2,1,3,1
"2",2,3,3,3,1,1
"3",1,3,2,1,1,2
"4",1,1,2,3,1,3
"5",2,1,1,3,2,1
"6",3,3,3,2,3,3
"7",1,2,2,2,2,1
"8",3,1,3,1,2,1
"9",3,2,2,3,2,2
"10",2,1,2,2,1,3
"11",3,3,3,1,3,2
"12",2,3,2,3,2,2
"13",1,3,1,3,3,1
"14",3,3,1,3,1,3
"15",3,3,2,2,1,1
"16",2,3,2,2,3,3
"17",3,1,2,3,3,1
"18",2,1,1,1,1,2
"19",2,2,1,3,3,3
"20",1,1,3,2,1,1
"21",1,2,3,3,2,3
"22",3,1,1,2,3,2
"23",2,2,3,2,3,1
"24",3,2,3,3,1,2
"25",1,3,1,2,2,2
"26",3,2,1,1,1,1
"27",2,2,3,1,1,3
"28",2,1,3,2,2,2
"29",1,3,3,1,2,3
"30",1,1,3,3,3,2
"31",3,2,1,2,2,3
"32",1,1,1,1,3,3
"33",2,3,1,1,2,1
"34",2,2,2,1,3,2
"35",3,1,2,1,2,3
"36",1,2,1,2,1,2
