"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,1,3,1,1,1,1,3,3,2,2
"2",1,3,2,2,1,2,1,1,1,2,3
"3",2,3,1,1,3,2,2,1,1,1,1
"4",2,1,1,3,1,2,3,1,3,2,3
"5",2,1,2,2,3,2,3,1,2,3,1
"6",3,2,3,2,3,1,2,3,3,3,1
"7",2,1,2,2,1,3,2,2,1,3,2
"8",1,3,1,2,2,1,3,1,1,2,2
"9",1,2,2,3,3,3,3,1,1,1,1
"10",2,1,3,3,3,2,2,3,1,2,3
"11",1,3,1,2,3,3,1,2,2,3,1
"12",3,3,3,3,3,1,3,2,2,1,2
"13",3,3,1,2,3,3,2,2,3,2,3
"14",1,2,2,3,1,1,2,1,3,1,2
"15",1,3,1,3,2,1,2,3,2,2,3
"16",3,2,1,2,1,3,3,3,2,1,2
"17",2,3,2,1,1,3,3,3,3,2,1
"18",2,3,2,2,3,1,3,3,3,1,3
"19",3,3,1,1,1,2,1,1,3,3,2
"20",1,1,3,3,2,3,1,3,2,2,1
"21",1,3,3,1,2,2,2,1,2,3,3
"22",1,1,2,2,2,2,2,3,3,1,1
"23",1,1,1,2,1,3,2,2,3,1,3
"24",3,1,3,2,1,2,2,1,2,1,1
"25",3,2,1,1,2,2,3,2,3,3,1
"26",2,1,1,3,2,3,1,1,2,1,2
"27",1,1,2,3,3,1,1,2,3,3,2
"28",2,3,3,2,2,1,1,2,1,1,1
"29",2,2,1,3,1,1,2,3,2,3,1
"30",2,2,2,1,2,1,1,1,3,2,1
"31",2,3,3,3,2,3,2,1,3,3,2
"32",3,2,3,2,3,3,1,1,1,2,2
"33",2,3,3,3,1,2,3,3,1,3,2
"34",3,2,3,3,2,2,1,2,3,1,3
"35",3,2,2,3,2,3,3,2,1,3,3
"36",1,1,2,1,2,1,3,3,1,3,2
"37",2,2,1,1,1,1,1,2,1,1,3
"38",1,2,3,2,1,1,3,1,2,3,3
"39",3,1,1,3,3,1,3,2,1,2,1
"40",1,2,1,1,3,2,1,3,2,1,2
"41",1,2,3,1,3,2,3,2,3,2,2
"42",3,3,2,3,1,2,1,2,2,2,1
"43",3,1,2,1,3,1,2,1,2,2,3
"44",2,2,2,1,3,3,1,3,2,3,3
"45",3,3,2,1,2,3,2,3,1,1,2
"46",3,1,1,2,2,2,1,3,1,3,3
"47",2,1,3,1,2,3,3,2,2,1,3
"48",1,2,3,1,1,3,2,2,1,2,1
