"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",3,3,4,3,3,3,1,3,1,4,3,3,4,1,1,3
"2",4,2,3,1,1,1,1,3,2,1,2,2,4,3,3,1
"3",2,2,4,4,4,3,3,4,2,2,2,4,1,4,1,1
"4",2,1,2,4,2,4,4,3,1,2,4,1,4,3,4,3
"5",1,2,3,1,4,3,4,2,4,1,3,1,3,1,2,2
"6",1,3,1,4,2,2,1,1,2,1,3,2,1,3,2,3
"7",3,1,1,2,1,1,4,2,1,4,2,4,1,2,2,2
"8",4,4,2,1,2,3,1,2,2,3,4,4,2,1,4,2
"9",2,2,3,3,1,1,2,1,3,2,4,4,3,1,1,4
"10",1,4,3,1,2,1,4,4,3,3,1,3,2,3,1,3
"11",3,4,4,2,1,4,2,3,4,2,4,2,1,4,2,2
"12",1,4,2,3,1,3,2,4,1,4,1,1,3,2,2,1
"13",4,1,1,4,3,2,2,2,4,3,1,2,3,3,1,1
"14",1,1,4,2,3,4,3,1,2,4,4,3,2,3,3,1
"15",3,2,3,2,4,2,1,1,1,3,1,1,2,4,4,3
"16",4,1,2,3,4,4,3,3,3,1,1,3,1,1,3,3
"17",3,4,1,1,4,4,3,1,2,2,2,2,4,2,1,4
"18",4,3,4,4,1,3,4,2,3,3,2,1,2,2,3,4
"19",4,3,2,2,3,2,4,4,1,1,4,3,3,4,2,4
"20",2,3,4,2,2,2,3,1,4,1,1,4,4,2,4,2
"21",2,1,3,1,3,2,2,4,4,4,3,2,1,2,4,4
"22",2,4,2,4,4,1,2,2,3,4,3,3,4,4,3,2
"23",1,2,1,3,2,4,1,3,4,3,2,4,3,4,3,4
"24",3,3,1,3,3,1,3,4,3,2,3,1,2,1,4,1
