"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,3,4,3,3,1,3,3,2,3,3,3,2,1,4,1,1,4
"2",4,3,2,2,2,1,3,4,1,3,2,3,3,4,1,4,4,1
"3",2,4,2,3,4,3,2,1,1,3,4,2,1,3,1,3,4,4
"4",1,2,2,4,2,4,2,3,3,2,2,1,1,1,4,4,4,2
"5",2,3,2,1,4,1,2,4,4,1,4,1,3,1,2,2,2,2
"6",3,2,2,3,1,3,3,1,1,2,1,4,3,1,2,1,1,2
"7",2,3,3,4,4,4,4,3,1,1,2,3,4,3,3,4,2,3
"8",3,1,3,2,4,3,1,3,4,2,3,2,3,4,4,3,1,1
"9",3,1,4,1,4,4,2,2,3,3,2,3,4,2,2,1,4,3
"10",4,2,4,4,4,2,3,4,3,4,1,2,1,3,2,3,1,2
"11",1,3,1,2,3,4,1,1,2,1,1,2,2,4,1,2,1,3
"12",1,1,1,2,1,3,4,4,2,4,3,2,4,1,2,3,3,3
"13",4,2,1,3,3,2,4,2,4,1,1,3,3,2,4,3,4,4
"14",4,1,4,3,2,3,2,4,1,1,4,1,2,4,3,1,3,3
"15",1,1,3,4,1,2,3,2,4,3,2,1,3,4,1,2,2,4
"16",3,4,1,4,1,2,1,3,3,1,3,3,1,2,1,1,3,1
"17",2,2,3,1,1,1,1,4,2,2,2,4,1,3,3,2,4,4
"18",1,4,2,1,3,3,4,3,4,4,1,4,2,3,3,1,3,1
"19",2,4,4,2,2,2,1,2,1,4,1,1,4,2,4,2,3,2
"20",3,4,1,1,2,2,3,1,3,2,3,1,4,3,3,4,1,4
"21",2,1,4,2,3,1,4,1,3,2,4,4,2,2,1,4,3,2
"22",4,4,3,3,2,4,1,2,4,4,3,4,2,1,2,4,2,3
"23",4,3,3,1,1,4,4,1,2,3,4,2,1,2,4,2,2,1
"24",3,2,1,4,3,1,2,2,2,4,4,4,4,4,3,3,2,1
