"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,1,2,4,2,4,3,4,3,1,1,3,4,1,3
"2",1,2,1,4,2,3,2,2,3,4,4,1,1,2,2
"3",3,4,3,1,4,1,4,3,3,3,4,1,2,1,2
"4",2,3,2,1,4,3,4,1,1,1,3,3,1,2,3
"5",3,3,2,2,4,3,2,4,4,4,2,2,3,4,4
"6",3,1,4,2,1,3,1,1,4,2,4,2,4,2,3
"7",3,4,4,4,3,2,2,4,1,1,4,3,2,3,1
"8",2,4,3,4,4,3,1,1,2,2,1,4,3,3,2
"9",1,4,3,1,1,1,2,2,3,1,2,3,3,2,4
"10",4,2,3,3,1,1,4,4,2,2,3,3,1,4,2
"11",2,1,2,3,4,1,2,1,3,4,4,4,4,1,1
"12",4,2,1,4,4,1,3,3,4,2,1,4,3,2,3
"13",4,4,2,2,2,1,1,2,1,4,4,4,2,4,3
"14",3,3,2,4,1,2,4,2,4,3,2,2,4,3,1
"15",2,2,1,2,3,1,1,3,4,1,3,2,2,3,1
"16",1,2,2,4,3,4,4,2,1,2,4,2,3,1,4
"17",4,1,4,2,4,2,4,2,2,1,3,1,3,3,4
"18",4,3,4,2,3,4,3,2,3,2,2,4,1,1,1
"19",1,1,3,3,2,3,4,3,4,1,1,4,2,4,1
"20",1,4,2,3,3,2,1,4,4,2,2,1,1,1,3
"21",3,1,1,1,3,2,1,2,3,3,1,3,1,4,4
"22",1,1,4,4,3,1,3,1,2,3,2,2,2,4,3
"23",2,4,1,3,1,3,3,2,1,2,3,1,3,4,1
"24",2,3,4,1,1,4,4,4,3,4,1,1,2,3,3
"25",4,1,2,1,2,4,1,4,2,3,3,1,3,2,1
"26",4,3,1,3,1,2,2,1,2,1,1,2,2,1,2
"27",1,3,1,1,2,2,3,4,2,2,4,4,4,3,4
"28",2,1,1,2,1,4,2,3,1,3,2,4,1,3,3
"29",1,3,4,3,4,4,1,3,3,3,3,3,4,4,2
"30",3,2,3,1,3,4,2,1,1,1,2,1,4,4,2
"31",3,2,3,4,1,3,1,3,2,4,3,4,2,1,4
"32",4,4,3,3,2,4,3,1,4,3,4,2,1,3,4
"33",2,3,4,3,2,1,2,3,1,3,1,1,4,2,4
"34",1,2,3,2,4,2,3,4,1,4,1,2,1,2,1
"35",4,4,1,2,3,3,4,3,2,4,2,3,4,2,2
"36",2,2,4,1,2,2,3,1,4,4,3,3,3,1,2
