"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,3,2,3,2,3,3,3,2,1
"2",2,3,2,2,3,3,3,1,1,3
"3",2,3,1,1,3,1,1,2,2,2
"4",1,3,2,1,3,2,2,3,3,3
"5",2,2,1,1,2,1,3,3,1,3
"6",3,3,3,3,1,1,2,3,1,2
"7",1,2,2,2,1,2,1,3,1,2
"8",1,1,2,3,1,1,3,2,3,2
"9",1,3,1,3,1,3,1,1,2,2
"10",1,1,1,3,3,3,2,2,1,1
"11",2,2,3,1,1,2,1,1,3,3
"12",2,2,3,3,1,3,1,2,3,1
"13",1,1,3,1,2,1,2,3,2,1
"14",3,1,2,3,1,2,3,1,2,3
"15",3,2,1,1,2,3,1,3,1,1
"16",1,3,2,3,2,1,1,2,1,3
"17",3,1,2,2,1,3,1,3,2,3
"18",2,1,2,1,1,3,2,2,1,2
"19",2,1,3,1,3,3,3,1,2,2
"20",3,2,1,2,1,1,3,2,2,1
"21",1,2,1,1,1,1,2,1,2,3
"22",2,1,1,3,3,2,1,3,2,3
"23",1,2,2,2,3,1,1,1,1,1
"24",3,3,3,1,2,3,2,2,2,3
"25",1,1,1,2,2,3,2,1,3,2
"26",2,3,1,2,1,2,2,3,3,1
"27",1,2,3,3,3,2,3,3,2,2
"28",3,1,2,1,3,2,1,2,3,1
"29",1,3,3,1,1,2,3,2,1,1
"30",3,3,2,1,2,1,3,1,3,2
"31",1,2,3,2,2,3,3,2,3,3
"32",2,1,3,2,2,1,1,3,3,2
"33",3,3,1,3,2,2,2,2,3,3
"34",2,1,1,2,2,2,3,1,1,1
"35",3,2,1,2,3,3,3,3,3,2
"36",3,1,3,2,3,1,2,2,1,3
"37",3,2,3,3,2,2,2,1,1,2
"38",3,3,3,2,3,2,1,1,2,1
"39",2,2,2,3,3,1,2,1,3,1
