"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,2,2,3,2,3,3,1,2,3,2
"2",3,2,3,2,3,2,1,1,3,1,2
"3",3,3,1,3,3,2,3,2,2,1,1
"4",1,1,1,2,2,1,3,3,2,3,1
"5",3,1,1,3,2,1,1,1,2,2,3
"6",2,1,1,1,1,3,1,2,3,1,2
"7",3,3,1,1,1,3,2,3,2,2,3
"8",1,1,3,3,1,3,2,2,1,2,2
"9",2,1,1,2,3,2,2,3,1,2,1
"10",2,2,1,1,2,1,2,1,1,1,3
"11",3,1,1,2,1,2,3,1,1,3,2
"12",3,3,2,2,2,1,3,3,1,1,3
"13",1,3,2,2,2,3,2,3,3,1,2
"14",2,2,1,3,1,2,3,3,3,2,3
"15",3,2,3,3,3,3,2,3,2,3,1
"16",2,1,2,3,3,1,1,1,1,1,2
"17",1,3,2,3,3,2,2,1,1,3,3
"18",3,3,3,2,2,2,2,1,1,2,1
"19",1,1,2,2,1,1,2,1,3,2,3
"20",1,3,1,3,2,1,1,2,1,2,2
"21",1,2,3,3,2,1,3,1,3,1,1
"22",1,1,2,3,1,2,1,3,3,3,1
"23",3,1,2,1,2,2,3,2,3,3,3
"24",3,1,2,1,3,3,3,3,1,1,2
"25",2,3,1,1,2,3,1,2,1,3,1
"26",2,3,3,3,1,2,1,2,2,1,3
"27",1,3,3,1,3,1,2,3,2,3,2
"28",2,1,3,3,2,3,2,3,3,1,3
"29",3,2,1,3,3,1,2,2,3,3,2
"30",1,2,1,2,3,2,2,2,2,1,3
"31",3,2,2,3,1,3,3,2,1,2,1
"32",1,2,3,1,1,2,3,3,1,1,2
"33",2,2,3,1,3,1,3,2,3,2,1
"34",2,2,3,2,1,1,1,3,1,3,3
"35",2,3,2,1,1,2,2,1,3,3,1
"36",1,2,2,1,3,3,1,2,1,3,3
"37",1,2,1,2,1,3,1,1,2,1,1
"38",3,1,2,1,1,1,2,2,2,1,1
"39",3,3,3,2,2,3,1,2,3,3,3
"40",2,3,2,2,3,1,1,3,3,2,1
"41",3,2,2,1,2,2,1,3,2,2,2
"42",1,1,3,1,2,2,1,1,2,2,1
"43",2,3,3,2,1,1,3,2,2,3,2
"44",1,3,1,1,3,3,3,1,3,2,2
"45",2,1,3,2,3,3,3,1,2,2,3
