"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,4,4,3,3,3,2,4,4,4,4,2,2
"2",4,4,3,1,3,2,4,3,3,3,3,1,1
"3",2,2,3,3,1,4,4,4,2,4,1,1,3
"4",1,4,2,4,2,2,3,1,4,3,1,4,2
"5",1,3,4,2,4,4,2,1,2,2,2,4,1
"6",3,1,2,3,2,1,4,1,2,2,4,2,1
"7",1,3,1,1,1,3,3,4,1,2,3,2,2
"8",2,3,4,4,2,2,4,3,1,1,4,4,4
"9",3,1,4,1,2,4,3,3,4,2,1,3,4
"10",2,4,1,3,4,1,1,3,2,3,1,2,4
"11",2,1,1,2,2,3,1,3,3,4,3,4,2
"12",4,2,4,4,1,2,1,1,3,2,3,2,3
"13",4,2,2,1,3,1,2,4,2,1,1,4,2
"14",1,1,2,4,3,4,2,2,3,1,3,1,4
"15",2,3,3,2,1,1,1,2,4,1,2,1,1
"16",3,2,1,2,3,2,3,1,1,4,2,1,4
"17",1,2,3,1,4,1,3,2,3,4,4,3,3
"18",4,3,1,3,4,3,4,2,4,1,2,3,3
"19",3,1,3,4,4,3,1,4,1,3,2,3,1
"20",4,4,2,2,1,4,2,2,1,3,4,3,3
