"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,3,3,1,2,3,2,2,1,3,3,2,2,1,2,1
"2",1,1,2,3,2,2,2,1,3,2,3,1,2,3,1,3
"3",3,2,1,1,3,2,2,3,2,3,3,3,2,3,1,1
"4",3,1,1,2,2,1,3,2,2,1,3,2,2,1,3,3
"5",1,1,2,1,1,1,3,3,3,2,2,3,3,2,2,1
"6",2,3,1,3,1,2,2,2,2,2,1,3,3,1,1,3
"7",2,3,2,3,3,1,2,2,1,1,2,1,1,2,1,1
"8",2,1,1,2,1,2,3,1,1,3,1,1,2,2,3,1
"9",2,3,3,2,3,2,3,1,3,1,3,3,3,2,2,2
"10",3,1,2,1,2,3,2,1,1,1,1,3,1,2,1,2
"11",1,3,1,2,1,3,2,3,3,1,2,2,1,3,3,2
"12",3,2,3,3,2,2,1,2,3,1,1,2,3,3,3,1
"13",1,1,1,2,3,1,1,2,1,3,1,2,3,3,2,2
"14",3,2,1,2,3,3,1,1,3,2,2,1,1,1,2,1
"15",3,3,2,3,2,3,3,3,2,3,2,1,3,3,2,2
"16",1,2,3,1,3,3,3,2,2,2,1,1,1,2,3,3
"17",1,2,2,3,1,1,1,1,2,3,3,3,1,2,3,2
"18",2,1,3,3,3,3,1,3,1,2,2,3,2,1,3,2
"19",2,2,3,2,2,1,3,3,3,3,1,2,1,1,1,3
"20",2,2,2,1,1,2,1,3,1,1,3,1,3,1,2,3
"21",3,3,3,1,1,1,1,1,2,2,2,2,2,3,1,3
