"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,2,3,4,4,1,2,1,3,3,4,4,3,3
"2",4,2,1,1,4,1,4,3,1,2,3,2,4,2
"3",3,4,4,3,2,1,3,3,4,3,2,1,4,1
"4",3,2,3,4,1,4,3,4,3,1,3,1,3,2
"5",4,4,2,3,4,3,2,4,2,2,4,1,1,3
"6",2,4,4,4,3,4,4,3,1,4,3,3,1,3
"7",1,3,4,1,4,3,3,2,2,4,1,1,3,4
"8",1,4,3,2,3,2,1,4,1,1,2,4,3,2
"9",2,2,2,3,1,1,2,4,1,4,1,2,2,1
"10",1,1,2,2,3,2,2,1,4,4,3,1,1,2
"11",3,1,2,3,3,4,3,1,1,2,1,4,4,4
"12",2,2,2,1,2,3,2,3,4,1,4,3,4,4
"13",4,3,2,4,2,3,1,2,2,4,3,4,4,1
"14",4,3,3,2,1,1,3,1,2,1,3,3,1,4
"15",3,3,4,1,2,4,1,1,1,3,4,2,2,2
"16",2,3,1,3,4,3,4,1,4,1,2,3,2,1
"17",1,1,1,4,2,1,1,3,2,2,2,1,2,4
"18",1,1,4,3,1,2,4,2,2,2,4,3,3,1
"19",4,1,3,1,1,3,4,4,4,3,2,4,2,3
"20",2,4,1,1,2,2,3,2,3,2,1,4,1,2
"21",1,4,1,2,1,4,2,2,3,3,2,2,4,3
"22",4,2,4,4,3,2,1,2,4,1,1,2,2,3
"23",3,3,1,2,3,2,4,4,3,4,4,2,3,4
"24",3,1,3,2,4,4,1,3,3,3,1,3,1,1
