"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,4,2,1,3,3,4,1,4,4,2,1
"2",4,3,2,2,4,4,4,3,1,3,1,2
"3",1,4,3,3,4,1,3,2,2,2,2,3
"4",2,4,4,2,3,2,2,3,1,1,3,1
"5",1,2,4,3,2,4,2,4,1,4,2,2
"6",4,4,1,3,1,3,2,4,4,3,2,4
"7",4,2,4,3,3,3,3,1,2,2,1,1
"8",4,1,4,2,4,2,1,1,4,1,2,3
"9",2,3,1,4,4,1,2,1,1,4,1,4
"10",3,1,3,3,1,2,4,2,2,4,4,1
"11",2,1,1,3,2,1,4,3,4,1,1,2
"12",3,2,3,3,3,4,1,3,4,4,3,4
"13",4,4,2,4,3,1,1,4,2,4,4,2
"14",2,4,4,4,1,4,4,1,3,3,3,3
"15",1,1,3,4,3,2,3,4,3,3,1,4
"16",1,1,2,2,2,4,2,1,2,1,4,4
"17",3,3,4,2,4,3,4,4,3,1,4,4
"18",1,3,1,4,2,3,1,3,3,2,3,1
"19",3,2,2,4,1,3,3,3,1,1,2,3
"20",3,1,1,1,4,4,3,4,2,2,3,1
"21",2,3,3,1,1,2,1,4,2,2,1,3
"22",1,3,4,1,1,1,3,3,4,3,4,2
"23",3,2,2,2,1,1,1,1,3,3,2,1
"24",2,1,1,1,3,3,1,2,1,3,4,3
"25",2,2,2,4,4,2,2,2,4,2,4,2
"26",4,3,1,2,2,2,3,2,3,4,3,3
"27",3,4,3,1,2,4,2,2,3,1,1,2
"28",4,2,3,1,2,1,4,2,1,2,3,4
