"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",3,3,2,1,2,3,3,2,3,1,3,1,1,2,3,3,2
"2",1,2,1,2,2,3,1,1,1,3,2,1,1,1,2,2,1
"3",2,3,1,3,3,1,2,2,1,1,2,3,3,3,3,2,3
"4",2,1,1,2,3,1,3,1,2,2,3,2,2,1,3,3,1
"5",2,2,1,1,2,3,1,3,2,3,3,2,3,3,3,1,3
"6",3,2,1,3,1,2,3,1,3,2,2,3,2,2,1,1,3
"7",3,1,1,2,2,1,1,3,2,1,1,3,1,2,2,1,2
"8",1,3,1,1,1,2,2,3,2,2,3,2,1,3,1,2,1
"9",1,2,3,1,3,2,2,3,1,1,2,1,2,2,3,1,1
"10",2,3,2,2,1,2,1,3,3,1,3,3,3,1,2,3,1
"11",2,3,2,3,2,1,3,3,1,3,2,2,1,1,1,3,2
"12",1,1,2,2,3,3,2,2,1,2,3,3,1,1,1,1,3
"13",1,1,2,3,3,2,3,3,2,3,2,1,3,2,2,3,3
"14",3,2,1,1,3,2,3,1,2,1,1,2,3,1,1,2,2
"15",3,3,2,3,2,1,2,1,2,3,3,1,3,2,1,1,1
"16",2,1,1,2,2,3,2,3,3,3,1,1,2,3,1,3,2
"17",1,3,1,3,1,2,1,2,1,2,1,1,2,1,3,1,2
"18",1,2,3,2,3,1,1,2,3,3,3,3,3,2,1,2,2
"19",2,3,3,1,2,3,1,1,1,2,1,3,3,2,2,3,3
"20",3,2,2,3,3,3,1,2,1,1,1,2,2,3,1,3,1
"21",3,1,2,1,1,2,2,1,1,3,2,3,2,3,3,3,2
"22",3,1,3,3,2,3,2,3,3,2,2,2,3,1,3,2,1
"23",2,2,3,3,1,3,3,2,2,3,1,3,1,2,3,2,1
"24",1,3,3,2,1,3,3,1,2,1,2,2,3,3,2,1,2
"25",1,1,2,1,2,1,3,2,3,2,1,3,2,3,2,1,1
"26",3,3,3,1,3,2,2,2,3,3,1,2,1,1,2,1,3
"27",3,2,3,2,1,1,3,3,1,2,3,1,2,3,2,2,3
"28",2,1,3,1,1,1,1,2,2,1,2,1,2,1,1,2,3
"29",1,2,2,2,1,1,2,1,3,1,1,2,1,2,3,3,3
"30",2,1,3,3,3,2,1,1,3,2,3,1,1,3,2,2,2
