"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,1,2,3,2,3,3,3,3,2,1,3,1,1,1,1,1,3
"2",1,3,1,1,2,3,3,2,2,1,3,1,1,2,2,3,2,2,3
"3",1,1,2,3,3,2,2,1,1,1,3,1,2,1,2,2,1,1,1
"4",3,3,1,2,2,1,2,1,3,2,1,1,2,1,2,1,3,3,2
"5",1,3,1,3,1,1,1,2,3,2,2,2,2,3,1,3,2,1,1
"6",2,1,2,3,2,3,1,2,1,2,1,1,1,2,1,1,3,1,3
"7",2,2,3,3,2,1,2,1,3,1,3,2,3,3,3,1,2,2,3
"8",3,2,1,3,2,2,3,3,1,1,3,2,1,3,1,2,3,3,2
"9",3,3,3,1,1,2,1,3,2,1,1,2,3,1,1,2,2,2,3
"10",1,1,3,2,1,3,2,2,2,3,3,2,1,1,1,1,2,3,2
"11",3,3,3,3,3,3,3,2,2,2,2,3,2,1,3,2,3,1,3
"12",1,2,1,3,3,2,1,1,2,3,1,3,1,2,3,2,2,3,3
"13",1,3,2,2,1,2,3,2,1,3,1,2,3,2,3,1,3,2,1
"14",1,2,3,1,1,3,3,1,3,2,1,2,1,3,2,2,1,1,2
"15",3,2,2,3,2,1,3,1,2,3,2,2,1,1,1,3,1,2,1
"16",2,3,3,2,2,2,1,2,1,3,2,3,3,3,2,3,1,3,3
"17",3,1,2,2,1,2,2,1,3,1,2,3,1,2,2,3,3,1,3
"18",2,1,1,1,2,3,2,1,2,3,3,3,3,3,1,2,3,1,1
"19",1,3,2,2,3,1,2,3,2,1,1,3,2,3,1,1,1,2,2
"20",1,2,3,1,3,1,2,1,1,2,2,1,3,2,1,3,3,3,2
"21",2,1,1,3,1,1,3,3,1,2,1,3,3,1,2,3,2,2,2
"22",3,3,2,1,3,1,1,3,1,3,3,2,1,2,2,1,2,1,2
"23",2,2,1,1,1,3,1,1,1,1,2,3,2,1,3,1,1,2,2
"24",2,1,3,2,3,1,1,3,2,1,2,1,1,3,3,2,3,2,1
"25",2,3,2,3,1,3,2,3,3,3,2,1,3,2,2,2,1,3,1
"26",3,1,1,2,3,3,1,2,3,2,3,2,3,2,3,3,1,2,2
"27",3,2,3,2,2,3,2,3,1,3,1,1,2,3,3,3,2,1,1
"28",2,1,3,1,3,2,3,2,3,1,1,3,2,2,2,1,2,3,1
"29",3,1,2,1,1,1,3,2,2,2,3,1,2,3,3,2,1,3,3
"30",1,2,2,1,2,2,1,3,3,2,3,3,2,1,3,3,3,3,1
