"","V1","V2","V3","V4","V5","V6"
"1",3,3,1,3,2,3
"2",3,2,1,2,3,1
"3",2,1,1,1,3,3
"4",3,3,3,2,1,2
"5",2,2,2,2,2,2
"6",1,1,1,2,2,1
"7",1,2,2,3,3,1
"8",3,2,2,1,1,3
"9",2,2,1,1,1,1
"10",3,1,1,1,2,2
"11",3,1,2,2,1,1
"12",3,2,3,3,2,1
"13",2,3,3,1,2,3
"14",2,3,1,2,1,3
"15",2,1,3,1,2,1
"16",2,2,3,3,3,3
"17",3,1,2,3,3,2
"18",2,1,3,3,1,2
"19",1,1,2,1,1,2
"20",1,2,1,3,1,2
"21",1,3,1,1,2,2
"22",1,3,3,2,2,1
"23",1,3,2,2,3,3
"24",3,3,2,1,3,1
"25",1,2,3,2,1,3
"26",1,1,2,3,2,3
"27",2,3,2,3,1,1
"28",2,3,1,3,3,2
"29",1,2,3,1,3,2
"30",3,1,3,2,3,3
