"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,3,2,3,3,1,2
"2",2,1,3,1,2,1,1,1
"3",3,2,1,3,1,3,2,1
"4",3,3,3,1,2,3,2,1
"5",3,3,1,2,2,1,3,2
"6",3,1,2,2,3,2,2,3
"7",3,2,1,1,2,2,1,3
"8",2,3,3,1,3,2,3,3
"9",2,1,1,3,2,3,3,3
"10",3,3,2,1,1,2,1,2
"11",1,2,2,1,1,3,3,3
"12",1,2,3,2,2,2,3,1
"13",1,3,2,2,2,1,1,3
"14",2,3,2,3,1,2,3,1
"15",1,1,1,2,1,2,1,1
"16",2,1,2,1,1,1,3,2
"17",1,3,3,3,1,2,2,3
"18",3,1,2,2,3,3,3,1
"19",1,1,1,1,3,1,2,3
"20",3,2,3,3,3,1,2,2
"21",1,1,2,3,2,1,2,1
"22",2,3,1,2,3,1,2,1
"23",2,2,2,1,3,3,1,1
"24",1,3,1,1,2,3,2,2
"25",2,1,3,2,1,3,2,2
"26",3,2,3,2,1,1,3,3
"27",2,3,2,3,3,3,1,3
"28",1,2,1,3,3,2,3,2
"29",3,1,3,3,2,2,1,2
"30",2,2,1,3,1,1,1,2
