"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",3,1,4,3,4,2,4,4,4,1,2,2,3,3,3,3,4,1
"2",1,3,1,3,2,1,4,1,3,4,3,1,2,4,1,1,2,1
"3",1,4,2,2,1,2,4,2,2,2,1,2,4,2,4,1,4,3
"4",2,4,3,4,1,3,4,3,4,4,4,2,4,3,2,4,2,2
"5",4,2,3,1,3,1,2,3,1,2,3,2,4,4,1,1,4,2
"6",2,3,3,1,1,4,3,4,3,1,2,3,1,2,2,1,3,1
"7",2,1,2,1,1,2,1,4,1,4,1,3,2,3,1,3,2,3
"8",2,1,2,3,3,4,1,3,4,2,4,1,2,2,4,1,1,2
"9",4,2,4,2,4,4,2,1,3,4,1,2,1,3,4,2,2,2
"10",3,1,4,3,1,4,2,1,2,2,3,4,4,2,1,4,2,3
"11",1,4,1,2,3,4,2,3,4,3,2,4,1,4,2,3,4,3
"12",3,4,1,2,4,2,2,4,3,1,4,1,4,1,2,2,2,4
"13",3,2,3,1,2,1,3,1,4,4,2,1,3,1,3,3,1,3
"14",4,1,2,1,2,3,4,1,3,1,4,4,2,4,3,2,4,3
"15",3,4,1,1,2,3,1,2,1,1,2,1,3,3,4,4,3,2
"16",2,4,3,4,4,2,3,1,1,2,2,4,2,3,3,1,1,4
"17",2,3,4,2,4,3,1,2,4,4,3,3,3,1,1,1,4,4
"18",2,2,1,4,1,4,2,1,1,3,4,2,3,1,3,3,4,1
"19",1,2,3,3,2,3,1,4,3,3,2,3,4,4,4,4,1,4
"20",4,3,2,4,3,2,1,1,4,3,1,4,4,2,2,2,3,1
"21",4,4,4,2,2,1,1,2,2,2,4,3,2,3,2,3,1,1
"22",1,3,4,3,2,1,2,3,1,1,1,4,3,1,3,2,2,2
"23",4,4,3,3,3,4,4,4,1,3,3,3,2,1,4,2,3,3
"24",3,2,1,4,1,1,3,2,4,2,3,3,1,3,4,2,2,4
"25",1,2,4,1,3,2,4,2,1,3,4,1,1,2,1,3,3,4
"26",3,2,1,2,3,3,4,3,3,2,1,4,2,1,1,4,1,1
"27",4,3,2,3,1,2,2,3,2,4,2,1,1,2,3,4,4,4
"28",3,1,4,4,2,3,3,4,2,3,1,1,1,4,2,1,3,2
"29",1,1,3,4,4,1,1,2,3,1,3,2,1,1,2,4,3,3
"30",2,3,2,2,4,1,3,4,2,3,4,4,3,4,4,4,3,2
"31",1,1,1,1,4,3,3,3,2,4,3,3,4,2,3,2,1,1
"32",4,3,2,4,3,4,3,2,2,1,1,2,3,4,1,3,1,4
