"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,3,1,3,2,2,2,1,3,1,2,1,1,2,3
"2",3,3,2,3,1,1,3,2,2,1,2,2,3,3,3
"3",1,1,1,2,2,3,3,2,3,1,1,2,2,3,1
"4",2,1,1,2,2,1,3,3,1,2,2,3,1,1,3
"5",2,3,3,3,2,3,3,1,1,2,3,3,2,2,2
"6",3,3,1,2,2,3,1,3,2,1,2,1,3,1,2
"7",2,1,2,3,1,1,1,1,3,3,2,2,2,3,2
"8",2,2,1,1,2,3,2,1,2,3,1,3,3,3,3
"9",3,1,3,1,3,3,2,1,1,1,2,2,2,1,2
"10",1,1,2,1,2,2,1,3,1,1,3,2,3,2,3
"11",1,2,2,3,3,3,3,2,1,3,2,1,1,3,1
"12",1,2,3,2,1,2,2,3,1,1,1,3,2,3,3
"13",2,2,1,3,1,3,2,3,3,2,3,2,3,1,1
"14",3,2,3,3,2,1,1,2,3,1,1,3,1,1,2
"15",3,2,1,2,1,2,3,1,1,3,3,1,3,2,2
"16",2,3,2,2,3,1,2,1,1,1,1,2,3,1,1
"17",2,1,3,2,1,3,1,2,2,1,3,3,1,2,1
"18",1,3,2,2,3,1,2,3,3,3,3,3,1,2,2
"19",1,2,3,2,2,1,1,1,2,3,3,1,2,1,1
"20",2,3,3,1,1,2,2,3,3,3,2,1,2,3,1
"21",3,1,2,1,2,1,2,2,1,2,3,1,1,3,1
"22",3,2,2,1,3,2,3,1,3,2,2,3,3,2,1
"23",1,2,3,1,1,3,3,2,3,3,2,2,3,1,3
"24",2,3,1,1,3,2,1,2,1,3,1,2,1,1,2
"25",2,1,3,2,3,1,2,2,3,2,1,1,3,2,3
"26",1,1,2,1,1,2,3,1,2,2,1,1,1,1,2
"27",1,1,3,3,3,2,1,3,2,2,2,3,3,3,2
"28",3,2,2,3,1,3,1,3,1,2,1,1,2,2,3
"29",2,2,1,1,3,1,3,3,2,1,3,1,2,3,2
"30",3,1,1,3,3,2,2,2,2,3,3,3,2,1,3
"31",3,3,2,2,3,3,1,1,3,2,3,2,1,3,3
"32",1,3,1,1,1,1,1,2,2,2,1,3,2,2,1
"33",3,3,3,3,2,2,3,3,2,3,1,2,1,2,1
