"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,1,2,1,1,2
"2",3,2,3,2,1,2,3
"3",3,1,3,2,2,3,1
"4",3,1,1,3,3,3,3
"5",1,2,2,2,3,3,2
"6",3,1,3,1,3,2,2
"7",2,3,3,1,2,3,3
"8",2,2,1,1,1,2,2
"9",1,2,1,2,2,1,1
"10",3,3,2,2,2,2,2
"11",1,1,1,3,2,3,2
"12",1,3,3,1,1,2,1
"13",2,2,2,1,2,3,3
"14",2,3,1,3,2,2,1
"15",2,1,3,3,2,1,2
"16",3,2,1,3,2,1,3
"17",3,2,2,3,3,1,1
"18",2,3,2,3,3,2,2
"19",1,1,2,3,1,2,3
"20",2,1,1,2,3,2,3
"21",3,3,2,1,1,1,1
"22",1,3,1,2,1,3,3
"23",2,1,2,1,3,1,3
"24",2,1,2,2,1,3,1
"25",2,2,3,3,1,3,1
"26",1,3,1,1,3,1,2
"27",3,3,2,3,1,3,2
"28",1,3,3,2,2,1,3
"29",2,3,3,2,3,1,1
"30",1,1,2,1,2,2,1
"31",1,2,3,3,3,2,3
"32",3,2,1,1,3,3,1
"33",1,2,3,1,1,1,2
