"","V1","V2","V3","V4","V5"
"1",1,2,2,1,2
"2",1,3,1,1,3
"3",2,1,2,1,2
"4",1,1,1,3,2
"5",3,2,2,1,3
"6",2,1,3,3,1
"7",2,2,2,3,1
"8",2,2,3,2,2
"9",3,1,2,1,3
"10",1,1,2,2,1
"11",1,3,1,3,1
"12",3,3,3,3,2
"13",2,3,2,2,3
"14",3,2,1,3,1
"15",1,3,2,3,2
"16",1,2,3,1,1
"17",1,3,2,2,1
"18",2,1,1,3,3
"19",1,2,1,2,3
"20",3,3,3,1,1
"21",3,2,1,2,2
"22",2,3,3,2,1
"23",2,1,1,2,2
"24",3,2,3,2,2
"25",2,3,3,1,3
"26",3,3,1,2,3
"27",3,1,3,3,3
"28",1,1,3,2,3
"29",3,3,2,3,2
"30",2,2,2,3,3
"31",2,3,1,1,2
"32",2,2,1,1,1
"33",3,1,1,1,1
"34",1,2,3,3,3
"35",1,1,3,1,2
"36",3,1,2,2,1
