"","V1","V2","V3","V4"
"1",4,3,3,4
"2",1,1,2,2
"3",4,3,3,1
"4",2,4,1,1
"5",2,1,1,3
"6",2,4,4,1
"7",4,3,4,3
"8",1,3,3,1
"9",1,2,4,4
"10",3,2,2,3
"11",4,4,2,2
"12",1,1,2,4
"13",1,4,3,2
"14",3,3,2,1
"15",1,2,1,1
"16",2,3,1,4
"17",3,1,1,2
"18",2,1,3,1
"19",4,1,2,1
"20",3,4,2,4
"21",3,3,1,2
"22",3,4,4,3
"23",2,2,3,4
"24",2,3,4,2
"25",2,4,3,3
"26",4,2,3,2
"27",4,2,1,4
"28",4,1,4,2
"29",3,2,4,1
"30",3,1,3,3
"31",1,3,2,3
"32",3,1,4,4
"33",1,4,1,4
"34",1,2,4,3
"35",4,4,1,3
"36",2,2,2,2
