"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,1,3,1,1,3,2,2,3,2,3
"2",3,1,2,2,3,1,1,3,1,2,2
"3",3,2,1,1,2,2,1,1,2,2,3
"4",3,1,2,1,2,1,3,1,1,2,1
"5",3,3,2,2,3,3,2,1,1,1,2
"6",1,3,3,3,2,2,2,3,2,3,1
"7",3,2,2,3,3,3,3,3,3,3,1
"8",2,2,1,3,1,1,1,1,2,3,1
"9",3,3,1,2,1,2,3,2,1,3,1
"10",3,3,3,1,1,2,3,3,2,1,2
"11",2,2,2,1,1,3,3,1,3,3,2
"12",1,1,1,1,2,2,1,2,3,3,2
"13",2,1,2,2,2,1,3,3,2,3,3
"14",3,2,3,1,1,1,2,2,3,2,1
"15",2,1,2,3,1,2,1,2,1,1,1
"16",3,2,1,2,3,2,2,2,3,1,3
"17",2,3,1,2,1,3,1,3,3,2,2
"18",3,1,3,2,3,3,1,1,2,3,1
"19",2,1,1,3,3,2,3,2,2,1,2
"20",1,3,1,2,3,1,3,2,2,2,1
"21",3,1,3,3,2,3,3,2,2,3,3
"22",1,1,3,1,3,1,2,1,2,1,2
"23",1,3,1,3,2,3,3,1,3,2,2
"24",3,2,3,3,2,1,1,3,3,1,2
"25",2,3,1,3,2,1,2,3,1,1,3
"26",2,3,3,1,3,1,1,2,1,3,2
"27",1,2,3,3,1,2,3,1,1,2,2
"28",1,3,2,1,3,2,3,3,3,2,3
"29",1,2,1,1,1,1,3,3,1,1,3
"30",2,2,3,2,2,3,3,2,1,1,1
"31",2,3,3,2,2,1,1,1,3,1,3
"32",1,2,2,2,2,1,2,1,3,3,2
"33",1,2,3,2,1,2,1,3,1,3,3
"34",2,1,3,3,3,2,1,1,3,2,1
"35",3,3,2,3,1,1,2,2,2,2,3
"36",1,3,2,1,2,3,1,2,2,1,1
"37",2,2,1,1,3,3,2,3,2,2,1
"38",1,1,1,2,1,3,2,1,2,1,3
"39",1,2,2,3,3,3,1,2,1,2,3
"40",1,1,2,2,1,2,2,3,3,1,1
"41",2,3,2,1,3,2,2,1,1,3,3
"42",3,1,1,3,2,3,2,3,1,3,2
