"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,3,3,2,3,3,2,2,2
"2",1,1,2,1,2,1,2,1,1,2
"3",2,3,1,1,3,1,3,2,3,1
"4",2,3,2,1,2,3,3,1,1,1
"5",1,2,1,2,2,1,1,1,3,3
"6",3,3,2,2,3,1,2,1,1,2
"7",2,2,1,3,1,1,3,3,1,2
"8",2,3,2,1,1,3,1,3,3,2
"9",2,2,2,3,3,3,1,2,1,1
"10",1,3,2,2,1,2,3,1,3,2
"11",1,3,1,1,2,3,1,2,2,2
"12",2,3,1,3,1,3,2,1,2,3
"13",2,3,3,3,2,2,1,1,3,1
"14",2,2,3,1,3,1,1,2,1,2
"15",1,2,1,1,1,2,1,3,1,1
"16",3,2,2,3,3,1,3,1,2,3
"17",1,2,3,1,2,2,2,1,3,1
"18",1,2,1,3,3,3,2,1,1,1
"19",1,1,1,2,2,3,3,3,2,1
"20",3,1,2,3,1,2,2,3,3,1
"21",2,2,3,2,3,2,3,1,1,3
"22",2,3,1,2,3,2,3,3,3,3
"23",2,1,1,2,1,1,1,1,2,2
"24",3,1,2,1,3,2,1,1,2,1
"25",2,1,1,2,1,2,2,2,1,1
"26",3,3,3,1,2,2,1,3,1,3
"27",3,2,1,1,3,3,2,3,3,2
"28",1,2,2,3,1,2,1,3,2,3
"29",3,2,2,2,1,3,3,2,3,1
"30",3,2,3,2,2,1,1,3,2,1
"31",1,1,3,3,3,2,3,3,1,2
"32",2,1,3,1,1,3,2,1,2,3
"33",3,3,3,1,1,1,3,2,2,1
"34",3,1,3,2,1,3,1,1,1,2
"35",1,3,3,2,1,1,2,2,1,3
"36",1,1,2,2,3,3,1,2,3,3
"37",2,1,3,2,3,1,2,3,3,1
"38",3,1,1,3,2,2,3,1,3,2
"39",3,3,1,3,3,2,1,2,2,2
"40",3,2,2,2,2,3,3,3,1,3
"41",1,3,3,2,3,3,2,3,2,2
"42",2,1,2,1,2,1,2,3,3,3
"43",1,2,3,3,1,1,3,2,3,2
"44",3,3,3,3,2,3,2,2,3,3
"45",1,1,2,1,3,2,3,2,2,3
"46",3,1,1,3,2,1,1,2,1,3
"47",3,2,1,1,1,2,2,2,2,3
"48",1,3,2,3,2,1,2,3,2,1
