"","V1","V2"
"1",1,3
"2",3,1
"3",3,4
"4",2,3
"5",3,2
"6",4,1
"7",2,4
"8",1,1
"9",3,1
"10",1,2
"11",4,2
"12",4,4
"13",1,3
"14",4,2
"15",4,3
"16",4,3
"17",1,1
"18",2,1
"19",3,1
"20",1,2
"21",1,1
"22",3,2
"23",2,3
"24",4,4
"25",1,4
"26",3,4
"27",3,3
"28",2,1
"29",2,1
"30",1,4
"31",3,3
"32",3,3
"33",2,4
"34",2,4
"35",4,1
"36",1,3
"37",1,4
"38",4,2
"39",3,4
"40",4,3
"41",3,4
"42",1,3
"43",2,2
"44",2,3
"45",2,2
"46",4,1
"47",3,2
"48",4,4
"49",1,2
"50",4,2
"51",2,2
"52",2,1
