"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1,3,3,3,4,2,1,2,3,4
"2",2,4,2,1,4,1,3,2,3,2,4
"3",3,2,1,2,3,2,2,3,1,1,4
"4",4,3,4,2,3,2,1,1,3,2,1
"5",3,1,2,1,2,4,4,4,2,2,1
"6",3,4,3,3,2,3,4,1,4,1,3
"7",1,2,3,2,4,2,4,4,3,4,2
"8",4,4,2,3,4,3,1,4,1,3,3
"9",3,4,3,4,2,1,2,3,2,4,1
"10",1,2,2,4,1,3,1,2,3,1,1
"11",2,3,1,2,1,1,4,1,1,3,2
"12",1,3,1,1,2,4,1,3,4,4,3
"13",4,1,1,4,3,2,3,2,4,3,2
"14",2,3,4,4,4,4,3,3,1,1,2
"15",2,1,4,3,1,1,2,4,4,2,3
"16",4,2,4,1,1,3,3,2,2,4,4
