"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",4,2,3,1,2,3,2,2,4,4,4,4,4,2,1
"2",1,1,3,1,1,1,3,2,1,1,2,1,2,2,2
"3",4,1,2,2,1,4,4,1,3,3,3,3,2,4,2
"4",3,4,3,2,4,4,3,4,3,2,2,1,4,3,1
"5",1,3,1,1,3,4,2,1,2,2,3,2,4,1,3
"6",2,2,2,4,2,4,1,3,3,1,1,3,1,1,1
"7",3,2,1,4,1,1,3,1,2,2,1,4,3,3,4
"8",2,1,4,2,3,1,2,3,4,3,1,2,4,4,3
"9",4,3,2,2,3,2,4,3,2,4,1,1,1,2,4
"10",3,3,4,4,4,2,3,1,4,1,4,2,1,2,2
"11",4,4,4,3,3,3,1,2,2,1,2,4,2,4,3
"12",3,4,2,1,2,1,1,4,1,3,4,3,1,3,3
"13",1,4,1,3,2,2,4,4,4,3,2,4,3,1,2
"14",2,2,1,3,4,2,1,2,1,4,3,1,3,4,1
"15",1,3,4,4,1,3,2,4,3,4,3,2,2,3,4
"16",2,1,3,3,4,3,4,3,1,2,4,3,3,1,4
