"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,2,2,3,3,2,3,3
"2",1,1,2,1,1,2,2,3
"3",2,1,3,2,3,3,1,1
"4",1,3,2,2,2,3,1,3
"5",1,2,3,3,2,2,1,2
"6",2,1,3,3,1,3,2,2
"7",3,3,2,3,1,3,1,2
"8",1,3,1,3,1,2,3,1
"9",2,3,2,1,3,1,1,2
"10",1,2,2,1,2,3,3,1
"11",3,3,3,2,3,2,3,2
"12",1,3,3,2,1,1,3,3
"13",2,2,1,2,1,2,1,3
"14",3,1,3,1,2,1,1,3
"15",2,1,2,3,2,1,3,1
"16",3,2,2,2,1,1,2,1
"17",3,1,1,1,3,2,1,1
"18",2,3,3,1,2,2,2,1
"19",2,2,1,1,1,1,3,2
"20",3,2,3,1,3,3,2,3
"21",3,3,1,3,2,1,2,3
"22",1,2,1,3,3,3,2,1
"23",1,1,1,2,3,1,2,2
"24",3,1,1,2,2,3,3,2
