"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,3,2,3,3,3,2,3,3,1,1,3
"2",1,2,1,3,2,3,3,1,1,1,2,2
"3",2,2,3,1,2,2,1,1,1,1,3,3
"4",1,2,1,3,1,2,1,2,3,2,1,3
"5",3,3,3,2,2,3,1,3,2,2,3,3
"6",2,1,1,2,3,1,3,3,1,2,2,3
"7",2,2,3,1,3,1,3,2,2,1,1,1
"8",1,3,3,1,1,1,2,1,3,2,2,2
"9",2,1,2,2,1,3,1,1,3,1,2,1
"10",2,1,3,3,1,2,2,3,1,3,3,1
"11",3,2,1,1,3,2,2,3,3,2,2,1
"12",1,3,1,2,3,1,1,2,1,1,3,1
"13",1,1,2,1,3,2,3,1,2,3,3,3
"14",3,2,2,1,1,3,3,3,1,2,3,2
"15",2,3,1,1,1,3,2,2,2,3,2,3
"16",1,2,3,3,2,1,1,3,2,3,2,1
"17",1,3,2,2,1,2,3,3,2,1,1,2
"18",3,3,1,2,2,2,3,1,2,3,1,1
"19",3,1,1,3,1,1,2,2,2,1,3,2
"20",3,3,2,3,3,2,1,2,1,3,2,2
"21",3,1,3,2,2,2,3,2,3,1,2,3
"22",2,1,1,1,2,1,1,3,3,3,1,2
"23",3,2,2,2,1,1,2,1,1,3,1,3
"24",1,2,3,2,3,3,2,2,3,3,3,2
"25",1,1,2,1,2,3,2,2,1,2,1,1
"26",2,3,2,3,2,1,3,1,3,2,3,1
"27",3,1,3,3,3,3,1,1,2,2,1,2
