"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,1,3,1,1,1,2,2,2,2,1,2,3
"2",2,2,1,3,3,1,2,3,3,1,1,2,3
"3",2,3,1,2,1,3,3,3,2,3,2,3,1
"4",1,2,3,2,3,2,2,1,1,1,3,3,2
"5",3,3,2,1,2,1,3,2,1,1,2,3,2
"6",1,2,2,1,2,3,3,3,3,3,1,1,2
"7",3,2,1,3,2,3,1,1,2,2,1,3,2
"8",1,1,1,2,2,3,2,1,3,1,2,2,1
"9",3,1,1,2,2,2,3,3,1,2,2,1,3
"10",2,2,3,2,1,3,3,2,3,1,1,3,3
"11",1,2,1,2,3,1,1,2,2,3,2,1,1
"12",1,3,3,1,3,3,1,3,1,2,2,2,2
"13",3,1,3,2,3,2,1,2,3,3,1,1,2
"14",3,2,2,1,3,1,2,3,3,2,2,3,1
"15",3,2,3,3,1,3,2,1,1,3,2,1,3
"16",3,3,3,3,3,2,3,1,2,2,1,2,1
"17",2,3,1,1,3,3,2,2,2,1,3,1,3
"18",2,1,3,3,2,1,2,3,2,3,3,3,2
"19",1,3,2,3,2,2,1,2,3,2,3,3,3
"20",3,1,2,2,1,3,1,3,2,1,3,2,3
"21",2,3,2,2,2,1,1,1,1,3,1,2,3
"22",3,2,3,1,2,2,1,3,2,1,3,1,1
"23",2,1,1,1,1,2,1,2,1,2,1,3,1
"24",2,1,2,3,1,1,1,1,3,1,2,1,2
"25",2,3,3,2,2,1,3,1,3,2,3,1,1
"26",3,3,1,1,1,2,2,1,3,3,3,2,2
"27",1,2,1,3,1,1,3,2,1,2,3,2,2
"28",1,3,2,3,1,2,2,3,1,1,1,1,1
"29",1,1,2,1,3,2,3,1,2,3,2,3,3
"30",2,1,2,3,3,3,3,2,1,3,3,2,1
