"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,2,3,2,3,3,1,1,3
"2",3,1,2,3,2,1,3,2,3
"3",3,1,3,3,3,2,1,2,1
"4",2,3,1,1,1,3,1,3,3
"5",1,2,3,3,2,1,2,3,1
"6",2,3,2,1,3,1,2,3,1
"7",1,1,1,1,1,1,3,2,2
"8",1,2,2,1,3,3,2,2,3
"9",2,3,3,3,1,3,2,1,2
"10",2,2,3,1,2,1,3,1,3
"11",1,1,2,2,3,1,1,3,2
"12",3,2,1,1,1,2,2,1,1
"13",1,3,2,2,3,2,3,1,1
"14",3,2,1,3,2,2,1,3,3
"15",1,3,3,1,2,2,1,2,2
"16",2,3,1,2,3,1,1,2,3
"17",3,3,2,3,2,3,2,2,1
"18",1,3,2,3,1,2,3,3,3
"19",2,1,2,1,2,2,1,1,1
"20",3,3,3,2,1,1,3,2,1
"21",2,1,3,2,1,2,2,3,3
"22",3,3,1,2,2,1,2,1,2
"23",3,1,2,1,1,3,2,3,2
"24",1,1,1,3,3,2,2,1,3
"25",2,2,2,3,1,1,1,1,2
"26",2,2,1,3,3,3,3,2,2
"27",2,1,1,2,2,3,3,3,1
"28",1,1,3,2,2,3,3,1,2
"29",3,2,3,1,3,2,3,3,2
"30",1,2,1,2,1,3,1,2,1
