"","V1","V2","V3","V4","V5"
"1",1,2,4,4,4
"2",3,1,1,2,2
"3",2,1,4,2,3
"4",2,4,3,1,1
"5",1,3,4,1,2
"6",4,2,3,1,2
"7",1,4,3,2,3
"8",4,4,4,4,1
"9",2,3,3,4,4
"10",3,4,2,1,4
"11",1,1,1,1,4
"12",2,3,1,2,1
"13",4,1,2,3,4
"14",3,2,3,2,4
"15",1,2,2,2,1
"16",1,3,2,3,3
"17",4,3,4,2,4
"18",3,2,1,4,3
"19",3,4,4,3,3
"20",2,1,2,4,2
"21",4,3,1,1,3
"22",3,3,3,3,2
"23",2,2,2,1,3
"24",3,1,4,1,1
"25",4,1,3,4,3
"26",1,4,1,4,2
"27",2,4,1,3,4
"28",1,1,3,3,1
"29",4,4,2,2,2
"30",4,2,1,3,1
"31",2,2,4,3,2
"32",3,3,2,4,1
