"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",3,3,4,2,1,1,3,1,1,4,2,2,3,1,2,1
"2",2,2,3,4,3,2,4,1,1,3,1,1,1,4,1,3
"3",4,1,2,3,3,3,3,4,4,2,2,4,1,3,2,1
"4",2,4,4,1,1,3,4,3,4,2,4,2,4,1,3,4
"5",3,3,1,1,3,1,4,4,4,1,4,2,2,3,1,2
"6",3,4,2,4,2,1,4,3,3,4,1,4,4,2,3,2
"7",2,1,1,4,4,2,2,2,4,1,1,3,3,1,2,2
"8",3,1,1,2,3,3,3,2,2,4,3,1,4,3,1,4
"9",1,3,1,4,1,3,3,4,2,3,1,3,3,3,4,4
"10",4,3,2,3,3,2,1,1,4,4,1,1,2,2,4,4
"11",3,2,4,2,1,3,1,1,4,2,1,4,2,4,3,2
"12",1,1,4,3,2,1,2,3,1,2,1,2,2,2,1,4
"13",4,4,3,1,3,4,2,1,1,2,2,3,4,3,4,2
"14",3,3,1,4,2,4,2,2,1,2,4,4,1,2,2,4
"15",1,4,4,3,4,4,4,2,4,4,2,4,3,3,1,3
"16",1,2,4,2,2,2,2,4,3,4,4,1,1,3,4,2
"17",4,4,2,2,1,2,2,4,2,3,3,4,2,1,1,3
"18",2,1,3,1,4,3,1,1,3,3,4,4,3,2,1,1
"19",2,1,2,1,1,1,3,2,4,3,2,1,1,2,4,3
"20",4,2,1,3,4,1,1,3,1,3,4,1,4,3,3,3
"21",2,4,3,3,1,1,1,1,3,1,3,3,1,3,2,4
"22",1,2,3,3,3,1,3,2,2,1,4,4,4,1,4,1
"23",1,3,2,2,4,2,3,1,3,2,4,2,4,4,2,3
"24",2,4,3,4,4,3,3,4,1,1,3,1,2,2,3,1
"25",4,3,4,4,2,2,2,3,4,3,3,3,4,4,1,1
"26",1,3,2,1,3,3,1,3,1,4,3,3,1,1,2,2
"27",4,3,4,2,4,3,4,2,2,1,2,3,1,2,3,3
"28",3,4,1,2,4,4,2,3,3,3,1,2,1,4,4,1
"29",3,1,4,4,3,4,1,4,3,2,3,2,3,1,4,3
"30",1,4,1,1,2,2,1,2,2,2,2,1,3,4,3,1
"31",1,2,1,3,2,4,4,1,3,3,3,3,2,1,3,1
"32",2,2,2,3,1,4,1,4,2,1,2,2,4,2,1,2
"33",4,1,3,4,1,4,4,2,2,4,4,2,2,4,2,2
"34",4,2,3,1,2,4,3,3,3,1,1,1,3,1,2,3
"35",2,1,2,2,2,2,4,3,1,1,3,4,3,4,4,4
"36",3,2,3,1,4,1,2,4,2,4,2,3,2,4,3,4
