"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,3,2,1,3,1,3,2,1,1
"2",2,1,3,2,1,2,3,2,2,1
"3",1,1,1,2,1,3,2,3,3,2
"4",1,2,2,1,1,2,3,1,3,1
"5",3,2,3,3,3,3,3,1,2,1
"6",2,1,2,3,3,3,3,3,3,2
"7",1,1,1,1,3,2,3,2,2,2
"8",3,2,2,2,1,2,2,3,1,3
"9",3,3,1,1,1,2,2,2,2,1
"10",1,3,3,2,2,2,3,2,3,3
"11",1,2,1,3,3,1,2,2,1,2
"12",3,1,3,3,2,2,1,3,1,2
"13",1,2,1,3,1,1,3,3,1,1
"14",3,2,3,1,2,3,2,3,2,1
"15",2,2,2,1,2,1,3,3,2,2
"16",3,2,1,3,2,2,1,1,3,2
"17",3,3,1,2,3,2,3,3,3,1
"18",2,1,2,3,1,2,1,3,2,3
"19",2,3,1,2,3,1,2,1,2,2
"20",3,1,1,1,1,3,1,1,1,2
"21",2,1,1,1,2,1,1,3,3,1
"22",1,3,2,1,2,3,2,3,1,3
"23",2,2,1,1,3,3,2,2,3,3
"24",3,2,2,3,1,1,3,2,3,3
"25",2,3,3,3,3,3,1,2,1,3
"26",3,3,1,3,2,1,2,3,2,3
"27",3,3,3,2,1,1,1,2,3,2
"28",2,2,1,2,2,3,1,2,1,1
"29",1,1,2,2,3,2,2,1,1,1
"30",3,1,2,2,2,1,3,1,1,2
"31",2,3,1,3,2,2,3,1,1,3
"32",2,2,3,1,3,2,1,1,1,2
"33",1,3,2,1,2,3,1,2,3,2
"34",2,3,3,2,1,3,3,3,1,2
"35",2,2,2,1,1,1,1,1,2,3
"36",3,1,3,1,3,2,2,1,3,3
"37",2,3,2,3,1,3,2,1,3,1
"38",1,3,2,3,3,2,1,3,2,1
"39",1,1,1,2,2,3,3,1,2,3
"40",1,1,3,1,1,1,2,2,1,3
"41",1,3,3,2,2,1,1,1,2,1
"42",1,2,3,2,3,1,1,3,3,3
"43",2,1,3,3,2,1,2,2,3,1
"44",1,2,3,3,1,3,2,1,2,2
"45",3,1,2,2,3,3,1,2,2,3
