"","V1","V2","V3","V4"
"1",3,1,2,2
"2",2,2,1,3
"3",2,1,3,2
"4",3,1,2,3
"5",3,1,3,3
"6",2,2,3,3
"7",2,3,2,3
"8",2,1,2,3
"9",3,2,2,3
"10",1,1,2,2
"11",3,3,3,2
"12",1,3,3,3
"13",3,2,2,1
"14",1,2,3,2
"15",2,1,2,1
"16",1,2,1,2
"17",2,3,3,2
"18",3,3,1,1
"19",1,3,1,1
"20",3,3,1,3
"21",2,3,1,2
"22",1,2,3,1
"23",2,2,1,1
"24",2,1,1,2
"25",2,2,3,1
"26",3,3,3,1
"27",1,2,2,1
"28",1,1,1,2
"29",1,2,2,3
"30",1,3,1,3
"31",2,3,2,1
"32",1,3,2,2
"33",3,2,3,2
"34",2,2,2,2
"35",1,1,1,3
"36",3,2,1,3
"37",3,3,2,2
"38",3,1,1,1
"39",1,1,3,3
"40",3,1,3,1
"41",1,1,3,1
"42",2,1,1,1
"43",2,3,3,3
"44",3,2,1,2
"45",1,3,2,1
