"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,1,2,3,1,2
"2",3,3,2,3,1,3,3
"3",1,3,3,2,3,1,2
"4",3,2,1,2,1,1,1
"5",1,1,3,2,1,2,3
"6",1,3,3,1,1,3,2
"7",3,3,1,1,2,2,3
"8",1,1,2,3,1,1,2
"9",2,3,3,2,2,1,3
"10",1,2,1,2,1,3,2
"11",3,1,2,1,2,3,1
"12",2,1,1,1,1,2,2
"13",2,2,2,1,1,3,1
"14",2,2,1,3,2,1,3
"15",2,3,2,2,3,3,1
"16",1,3,1,2,3,2,3
"17",2,1,2,3,3,1,3
"18",3,3,2,3,2,1,2
"19",2,3,1,3,2,3,2
"20",2,2,3,1,3,1,2
"21",2,1,1,1,2,3,3
"22",3,1,3,2,1,2,1
"23",1,2,2,1,1,1,3
"24",2,2,3,1,2,2,1
"25",1,3,1,1,2,1,1
"26",3,3,3,3,3,2,1
"27",2,3,1,2,1,1,2
"28",1,1,2,1,3,2,2
"29",2,2,3,3,1,1,1
"30",3,2,2,2,2,2,2
"31",3,2,1,3,1,2,3
"32",1,3,2,3,1,2,1
"33",3,3,3,1,1,2,2
"34",3,2,2,1,3,1,1
"35",2,1,1,2,3,2,1
"36",1,1,1,3,2,2,1
"37",2,3,2,1,3,2,3
"38",3,1,3,3,2,3,2
"39",3,2,1,3,3,3,1
"40",2,1,3,3,3,3,2
"41",1,2,3,3,2,2,3
"42",1,2,2,3,3,3,3
"43",2,1,2,2,1,3,3
"44",1,2,1,1,3,3,2
"45",3,2,3,2,3,3,3
"46",3,1,3,1,2,1,3
"47",1,3,3,2,2,3,1
"48",1,1,2,2,2,1,1
