"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,1,2,3,2,3,1,1,1,2,2,3,1,3
"2",3,1,2,3,3,2,1,3,3,3,1,3,2,2
"3",2,2,2,1,2,3,2,1,2,2,2,1,3,1
"4",2,1,2,3,1,1,2,2,1,1,2,2,1,3
"5",1,2,3,2,1,2,2,2,3,2,3,2,2,2
"6",1,2,3,3,3,3,1,2,3,2,3,1,1,3
"7",3,3,1,2,2,1,3,1,2,2,3,1,2,3
"8",3,3,3,1,3,3,2,3,3,1,1,1,2,1
"9",1,3,2,1,3,2,1,2,3,3,2,1,3,1
"10",3,1,2,3,1,3,3,2,1,2,2,3,2,1
"11",2,1,1,2,2,2,3,1,2,2,2,1,2,3
"12",3,2,2,3,2,2,2,2,2,2,3,3,3,2
"13",1,2,2,1,3,2,2,2,2,2,2,1,2,2
"14",1,2,3,2,3,2,1,3,2,3,2,1,2,3
"15",2,1,3,1,1,3,2,1,3,3,3,3,2,3
