"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,1,3,1,3,3,3,1,1,1,3,2
"2",1,2,4,2,2,2,4,1,2,4,3,1
"3",3,4,4,3,4,3,2,4,3,4,2,4
"4",3,2,4,3,3,2,2,1,4,2,2,2
"5",3,3,4,1,3,4,4,2,2,2,2,3
"6",4,3,3,1,2,1,1,4,4,3,4,1
"7",4,4,2,2,3,2,4,3,1,3,1,4
"8",3,1,3,3,2,1,1,4,2,1,4,3
"9",4,3,4,2,3,1,4,4,2,4,2,3
"10",1,1,2,1,2,4,2,4,1,3,4,1
"11",2,4,4,2,1,1,3,1,2,1,1,2
"12",1,4,1,1,3,3,3,4,2,3,1,2
"13",3,1,2,4,1,1,2,4,2,4,4,1
"14",2,2,1,1,4,3,2,4,3,2,2,3
"15",3,1,1,1,3,4,2,4,4,3,2,2
"16",1,1,3,4,4,2,3,3,3,3,4,4
