"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,3,1,2,3,3,3,1,3,1,1,1,3,3,2
"2",1,3,1,3,2,2,2,3,1,1,2,1,3,1,2
"3",2,1,3,3,2,1,1,1,1,2,3,3,1,1,1
"4",2,1,3,3,1,3,2,1,1,1,2,1,2,3,3
"5",1,3,1,3,1,1,3,3,1,1,3,2,2,3,2
"6",2,3,2,3,1,1,1,3,2,1,2,3,2,3,1
"7",2,3,3,1,2,1,1,1,3,2,3,2,2,1,1
"8",2,2,3,2,1,3,3,3,2,1,3,1,1,3,2
"9",3,3,2,1,3,1,3,3,3,2,2,3,2,3,1
"10",3,3,2,2,3,3,2,1,3,3,3,3,3,2,1
"11",3,1,1,1,3,1,1,2,2,3,2,3,1,1,2
"12",3,1,2,3,1,1,1,2,3,3,1,2,2,3,1
"13",1,1,1,1,1,1,3,3,2,1,3,1,3,2,1
"14",2,1,1,1,1,3,3,1,3,2,3,3,2,2,2
"15",2,1,2,2,3,2,2,3,3,1,3,2,1,3,1
"16",1,3,3,3,1,2,3,1,2,3,2,1,2,2,3
"17",3,3,1,3,1,2,1,2,3,1,1,2,1,3,2
"18",2,2,1,2,1,1,3,3,1,3,3,3,2,1,1
